年份,城市,城镇常住人口(市辖区),建成区面积（平方公里）市辖区,居住用地面积,公园绿地面积,建成区绿化覆盖率(%),工业颗粒物排放量(吨),工业二氧化硫排放量(吨),工业氮氧化物排放量(吨),细颗粒物年平均浓度(微克/立方米),人均地区生产总值(元)全市,医院数(个)全市,医院数(个)市辖区,医院床位数(张)全市,医院床位数(张)市辖区,执业(助理)医师数(人)全市,执业(助理)医师数(人)市辖区,职工基本医疗保险参保人数全市,境内公路总里程(公里)全市,年末实有公共汽（电）车营运车辆数（辆）,全年公共汽(电)车客运总量(万人次),年末实有巡游出租汽车营运车数（辆）,公路客运量(万人),高中及以上比例(%),年龄0到19比例(%),年龄20到39比例(%),年龄60以上比例(%),同性恋人数,城市降水量数据,城市年度日照时数,城市逐年气温,covid-19 累计确诊,covid-19 累计治愈,covid-19 累计死亡
2021,北京,1916,,,35720,48.96,4376,988,9751,38,164889,733,733,119310,119310,118541,118541,17415956,22264,23948,182567,74875,24548,52.71900874,14.06518071,43.63053967,12.54365613,34906,570.3099882,2630.578074,11.58190285,19588,11036,13
2021,天津,1174,1170,289,12114,37.59,10053,9756,29167,48,101614,423,423,61524,61524,49236,49236,6184300,16411,12399,61391,31779,7926,38.13436179,15.99333101,39.4351346,13.02051915,7976,667.3213928,2617.082502,13.35637723,2614,2592,0
2021,石家庄,516,312,94,5003,42.85,24707,10170,32276,58,52961,328,172,55670,36745,43597,28302,1836419,20639,4165,17756,7853,1150,29.80240241,23.30113536,34.86515067,12.63467912,5895,625.2927442,2678.532877,11.25248861,1722,1551,1
2021,太原,407,340,96,4716,46.59,,,,54,78734,164,148,41821,38314,25498,23351,1765026,7243,3725,21151,8292,,44.09442897,22.48571494,37.39380216,11.11307333,3853,546.1641218,2971.674137,10.48232499,748,593,0
2021,呼和浩特,,272,78,4128,38.41,,,,,81656,102,91,18719,16851,11974,10494,797572,7780,2859,16445,6228,148,37.18828653,21.59763345,37.80263481,11.38018185,1628,385.2041938,3033.481395,6.430492053,4560,4160,0
2021,沈阳,723,567,,8115,40.82,4178,9671,15885,42,75570,283,261,68011,63862,33644,30687,3551082,13417,6012,66998,19276,4893,38.47215905,15.24911083,33.76510315,15.29528553,6702,685.4771242,2843.136952,8.966676449,692,276,0
2021,大连,529,444,,4423,45.34,10891,10246,25416,30,94685,210,162,45415,34068,23298,19177,3534053,13687,5713,57888,11630,4321,34.2563679,15.49170517,35.06574762,15.80041468,4119,872.3321231,2563.840495,10.71385345,688,665,0
2021,长春,,551,160,5292,41.81,15464,16566,26811,,77634,229,153,58936,41777,31919,23402,,27790,5034,47150,18534,3399,32.00360313,18.7159739,36.4430677,12.62493584,6487,731.9077927,2790.172091,6.026730901,25192,25188,0
2021,哈尔滨,,473,144,5153,34.22,6162,9500,21970,47,54570,324,249,76901,66821,29854,24007,2324976,25108,7219,48476,17518,1652,30.87436963,17.06508978,36.82699962,12.77475277,7179,836.5033155,3220.211673,4.781682047,2542,1839,4
2021,牡丹江,,82,60,395,28.2,6539,5322,4843,31,33428,83,37,15418,10254,8179,4250,504805,12478,683,7323,2910,284,26.31818154,16.624582,33.35313999,14.54456193,740,811.0820921,2818.691813,5.101289852,163,104,0
2021,上海,2222,1238,550,21981,37.32,7899,5200,23396,32,155800,398,398,143638,143638,78364,78364,15882500,12917,17667,136524,37322,1332,42.84591868,13.48453265,40.14459932,15.07287657,24724,1632.07155,1740.674862,17.80052071,64811,63872,595
2021,南京,809,868,225,10982,44.69,21743,9709,24118,31,159322,271,271,57455,57455,37823,37823,4837330,9793,8747,54094,11848,6016,46.97184218,16.67412151,39.51520688,13.75158926,8535,1443.800855,1660.932909,16.96675115,796,552,0
2021,无锡,396,350,92,4089,43.43,16099,13297,22637,33,165851,210,145,42878,29111,25031,15647,3930296,7983,3036,19118,4040,3763,30.68720675,16.63146596,37.20457411,14.7024998,3365,1534.459921,1589.448164,17.73825207,206,103,0
2021,常州,357,277,63,3116,43.3,17563,8864,16989,39,147939,86,69,23860,20752,15408,13203,2323921,8715,2425,11985,3319,2873,28.71143845,18.17897754,34.84015329,15.04436321,2227,1473.795049,1649.175686,17.50118276,87,84,0
2021,南通,299,289,85,3955,43.3,5988,4908,8453,34,129900,227,86,38867,22553,22375,11691,2388290,17409,2525,10456,1841,4636,22.5541633,16.58317798,23.94785177,23.45241145,1954,1333.645744,1687.7686,16.81694325,80,41,0
2021,杭州,926,,197,9951,43.36,10411,3973,16056,30,136617,353,312,84251,77353,51135,46884,7134934,16919,10149,65502,13721,4535,36.60037334,17.78139857,37.78029976,13.39988527,11292,1958.909318,1535.651093,17.76722873,938,545,0
2021,宁波,408,378,95,4752,42.23,13476,8312,21478,23,132614,195,129,38420,25752,31891,19940,4513032,11433,6110,26673,4792,2426,24.036915,17.64057142,36.68192323,13.25548547,4590,1458.783731,1575.984734,18.28324641,645,409,0
2021,温州,267,276,56,3010,37.85,2146,4544,7050,23,71766,150,65,38678,19867,31472,12473,2299480,15084,2728,15791,3988,11152,19.73932105,22.17096454,40.02642154,11.04565592,4167,1205.660344,1576.172469,19.36036656,783,576,1
