年份,城市,累计确诊,累计治愈,累计死亡,,,,,,
2021,北京,19588,11036,13,,,,,,
2021,天津,2614,2592,0,,,,,,
2021,石家庄,1722,1551,1,,,,,,
2021,太原,748,593,0,,,,,,
2021,呼和浩特,4560,4160,0,,,,,,
2021,沈阳,692,276,0,,,,,,
2021,大连,688,665,0,,,,,,
2021,长春,25192,25188,0,,,,,,
2021,哈尔滨,2542,1839,4,,,,,,
2021,牡丹江,163,104,0,,,,,,
2021,上海,64811,63872,595,,,,,,
2021,南京,796,552,0,,,,,,
2021,无锡,206,103,0,,,,,,
2021,常州,87,84,0,,,,,,
2021,南通,80,41,0,,,,,,
2021,杭州,938,545,0,,,,,,
2021,宁波,645,409,0,,,,,,
2021,温州,783,576,1,,,,,,
2021,合肥,227,205,1,,,,,,
2021,黄山,9,9,0,,,,,,
2021,福州,468,416,1,,,,,,
2021,厦门,806,485,0,,,,,,
2021,泉州,1392,1248,0,,,,,,
2021,南昌,485,485,0,,,,,,
2021,济南,642,290,1,,,,,,
2021,青岛,1360,1295,1,,,,,,
2021,烟台,103,99,0,,,,,,
2021,威海,145,111,1,,,,,,
2021,郑州,5221,2697,6,,,,,,
2021,武汉,50741,46611,3869,,,,,,
2021,长沙,415,273,2,,,,,,
2021,张家界,148,77,0,,,,,,
2021,广州,33821,16120,1,,,,,,
2021,深圳,5885,4694,3,,,,,,
2021,揭阳,18,11,0,,,,,,
2021,南宁,71,70,0,,,,,,
2021,桂林,69,35,0,,,,,,
2021,海口,279,142,0,,,,,,
2021,重庆,7600,5127,7,,,,,,
2021,成都,6817,4246,4,,,,,,
2021,贵阳,421,364,1,,,,,,
2021,昆明,1013,75,0,,,,,,
2021,西安,2839,2561,3,,,,,,
2021,兰州,1049,988,2,,,,,,
2021,乌鲁木齐,1868,1423,0,,,,,,
