date,北京,上海,成都,广州,深圳,重庆,武汉,天津,沈阳,南京,哈尔滨,杭州,西安,长沙,长春,郑州,大连,济南,福州,南宁,石家庄,青岛,合肥,南昌,太原,无锡,厦门,宁波,昆明,温州,贵阳,乌鲁木齐,泉州,烟台,常州,兰州,南通,呼和浩特,海口,桂林,威海,揭阳,牡丹江
2007,1138,781,459,278,281,376,228,236,200,212,234,171,153,199,121,82,126,74,115,128,82,91,62,79,57,95,116,50,56,51,100,71,44,35,52,65,62,53,51,31,13,8,25
2008,1415,875,605,379,424,466,303,388,282,314,271,202,173,232,127,137,196,121,197,136,109,99,104,116,99,148,137,99,80,78,143,84,78,56,98,73,81,57,50,43,36,20,29
2009,2693,1678,1552,946,967,992,768,1027,667,662,621,532,465,552,383,356,506,308,411,427,266,278,292,298,184,313,355,234,205,206,424,95,222,148,216,151,202,160,154,120,75,50,71
2010,4595,2924,2614,1778,1755,1610,1398,1316,1150,1273,1087,1067,894,977,719,747,842,626,639,684,441,553,539,429,406,508,567,442,377,356,507,312,311,260,338,301,286,258,238,218,121,98,109
2011,13344,8058,7246,5883,5584,4964,4223,3999,3617,3621,3742,3427,3208,3127,2604,2755,2691,2212,2026,1893,1679,1922,1784,1585,1812,1525,1597,1631,1560,1264,1563,1221,1162,1083,980,1170,908,883,750,491,452,331,412
2012,12508,7829,6877,6144,5313,4794,4013,3803,3468,3466,3442,3292,3073,3014,2922,2774,2350,2291,1973,1860,1855,1847,1685,1520,1519,1509,1508,1492,1448,1386,1258,1174,1106,1010,990,987,869,824,798,613,511,409,396
2013,9817,6672,5209,5410,4649,4046,3242,2890,2595,2532,2333,2591,2477,2472,1834,2099,1670,1785,1662,1477,1348,1452,1441,1190,1078,1065,1190,1193,1174,1067,1099,918,860,812,756,812,633,516,664,463,395,343,254
2014,7372,4840,3650,4184,3372,2728,2272,1728,1250,1796,1490,2035,1653,1747,1139,1586,845,1218,1291,1078,980,917,1087,847,738,715,795,828,817,681,684,521,574,507,448,462,416,354,476,272,209,199,147
2015,13080,8649,6790,7611,6164,5127,4247,3496,2991,3365,3063,3657,3249,3259,2474,2982,1991,2395,2261,1954,1883,1865,1973,1587,1477,1386,1505,1587,1581,1386,1301,1146,1116,1041,917,988,810,710,886,563,473,429,327
2016,15049,10049,7746,9157,7255,5944,4921,3933,3357,3844,3459,4296,3793,3800,2839,3518,2209,2814,2656,2260,2216,2161,2331,1845,1693,1573,1717,1847,1856,1622,1462,1328,1289,1210,1041,1131,919,799,1046,647,548,510,368
2017,17314,11676,8837,11018,8539,6891,5702,4425,3767,4390,3907,5047,4427,4431,3258,4151,2450,3305,3120,2613,2609,2504,2754,2144,1942,1786,1959,2150,2180,1899,1643,1538,1489,1408,1182,1294,1042,900,1234,745,634,606,413
2018,19921,13566,10081,13256,10050,7988,6607,4978,4227,5014,4412,5929,5168,5166,3739,4897,2719,3882,3666,3021,3071,2901,3253,2491,2227,2027,2235,2502,2559,2222,1846,1782,1720,1637,1341,1480,1182,1013,1457,857,734,721,464
2019,22919,15762,11500,15950,11828,9260,7655,5601,4743,5728,4983,6965,6033,6024,4291,5777,3016,4559,4307,3493,3614,3362,3843,2895,2554,2301,2551,2912,3005,2600,2074,2065,1987,1904,1523,1693,1340,1141,1720,985,850,857,522
2020,26369,18314,13119,19191,13920,10735,8870,6301,5322,6542,5628,8182,7042,7023,4925,6816,3346,5355,5059,4038,4254,3896,4540,3364,2930,2612,2910,3389,3528,3043,2331,2392,2294,2215,1728,1937,1520,1284,2030,1133,984,1019,586
2021,30339,21279,14967,23090,16383,12445,10278,7089,5972,7472,6356,9612,8220,8189,5653,8041,3713,6290,5944,4669,5008,4514,5364,3909,3360,2964,3321,3944,4142,3561,2620,2771,2650,2576,1962,2217,1723,1446,2396,1303,1139,1211,659
2022,34906,24724,17074,27781,19282,14427,11909,7976,6702,8535,7179,11292,9595,9548,6487,9487,4119,7388,6983,5399,5895,5230,6337,4543,3853,3365,3789,4590,4864,4167,2944,3210,3061,2996,2227,2536,1954,1628,2828,1499,1319,1440,740
