,省,市,市（代码）,日期,现存确诊,新增确诊,本土新增确诊,无症状(只有本土),新增治愈,新增死亡,累计确诊,累计治愈,累计死亡
4,湖北,武汉,420100,2022.12.02,216,0,43,350,0,0,50674,46589,3869
1051,湖北,黄冈,421100,2022.12.02,0,0,0,12,0,0,2913,2788,125
2100,湖北,孝感,420900,2022.12.02,0,0,0,15,0,0,3518,3389,129
3149,湖北,荆门,420800,2022.12.02,0,0,0,17,0,0,971,930,41
4198,湖北,咸宁,421200,2022.12.02,0,0,0,18,0,0,836,821,15
5247,湖北,荆州,421000,2022.12.02,0,0,0,18,0,0,1582,1530,52
6296,湖北,襄阳,420600,2022.12.02,0,0,0,19,0,0,1190,1150,40
7345,湖北,随州,421300,2022.12.02,0,0,0,12,0,0,1307,1262,45
8394,湖北,十堰,420300,2022.12.02,0,0,0,20,0,0,674,666,8
9443,湖北,鄂州,420700,2022.12.02,0,0,0,15,0,0,1395,1336,59
10492,湖北,黄石,420200,2022.12.02,0,0,0,48,0,0,1016,977,39
11541,湖北,宜昌,420500,2022.12.02,0,0,0,24,0,0,932,895,37
12590,湖北,恩施州,,2022.12.02,0,0,0,6,0,0,255,248,7
13637,湖北,仙桃,429004,2022.12.02,0,0,0,9,0,0,575,553,22
14685,湖北,天门,429006,2022.12.02,0,0,0,4,0,0,498,483,15
15733,湖北,潜江,429005,2022.12.02,0,0,0,7,0,0,200,191,9
16781,湖北,神农架林区,429021,2022.12.02,1,0,0,0,0,0,12,11,
17825,广东,广州,440100,2022.12.02,14909,0,1201,4096,0,0,28819,13909,1
18871,广东,深圳,440300,2022.12.02,777,0,116,107,0,0,5347,4567,3
19917,广东,佛山,440600,2022.12.02,565,0,53,237,0,0,1037,472,
20962,广东,湛江,440800,2022.12.02,565,0,58,64,0,0,869,304,
22007,广东,东莞,441900,2022.12.02,331,0,0,149,0,0,827,495,1
23048,广东,中山,442000,2022.12.02,170,0,60,107,0,0,325,155,
24092,广东,惠州,441300,2022.12.02,183,0,13,33,0,0,339,156,
25137,广东,珠海,440400,2022.12.02,178,0,6,19,0,0,644,465,1
26181,广东,阳江,441700,2022.12.02,96,0,6,3,0,0,149,53,
27223,广东,汕头,440500,2022.12.02,374,0,38,10,0,0,412,38,
28267,广东,江门,440700,2022.12.02,128,0,10,14,0,0,291,163,
29311,广东,茂名,440900,2022.12.02,405,0,35,17,0,0,558,153,
30355,广东,肇庆,441200,2022.12.02,404,0,28,15,0,0,459,54,1
31399,广东,梅州,441400,2022.12.02,61,0,0,20,0,0,80,19,
32442,广东,清远,441800,2022.12.02,232,0,7,53,0,0,256,24,
33485,广东,韶关,440200,2022.12.02,132,0,8,4,0,0,145,12,1
