Entity,Year,Afforestation
Afghanistan,2000,70
Afghanistan,2010,70
Afghanistan,2015,70
Albania,1990,800
Albania,2000,800
Argentina,1990,23000
Argentina,2000,7000
Argentina,2010,13000
Argentina,2015,21000
Australia,1990,45340
Australia,2000,73120
Australia,2010,8250
Austria,1990,1700
Austria,2000,700
Austria,2010,300
Austria,2015,300
Azerbaijan,2000,40000
Azerbaijan,2010,86000
Azerbaijan,2015,95520
Bahrain,1990,20
Bahrain,2000,20
Bahrain,2010,20
Bahrain,2015,20
Bangladesh,1990,7500
Bangladesh,2000,0
Bangladesh,2010,0
Bangladesh,2015,0
Belarus,2000,6990
Belarus,2010,2820
Belarus,2015,1770
Belgium,2010,1000
Bhutan,1990,20
Bhutan,2000,160
Bhutan,2010,200
Bhutan,2015,200
Bosnia and Herzegovina,2000,860
Bosnia and Herzegovina,2010,460
Bosnia and Herzegovina,2015,420
Bulgaria,1990,2900
Bulgaria,2000,2940
Bulgaria,2010,400
Bulgaria,2015,100
Burundi,1990,0
Burundi,2000,0
Burundi,2010,17140
Burundi,2015,0
Cameroon,1990,300
Cameroon,2000,2000
Cameroon,2010,2000
Cameroon,2015,2000
Canada,1990,7330
Canada,2000,2470
Cape Verde,2000,3140
Cape Verde,2010,2200
Cape Verde,2015,1120
Central African Republic,1990,0
Central African Republic,2000,0
Central African Republic,2010,0
Central African Republic,2015,0
Chile,1990,63610
Chile,2000,53240
Chile,2010,11240
Chile,2015,2440
China,1990,1185000
China,2000,1572800
China,2010,1220900
China,2015,1067800
Colombia,1990,6870
Colombia,2000,21560
Colombia,2010,8540
Colombia,2015,680
Congo,1990,0
Congo,2000,0
Congo,2010,0
Congo,2015,0
Costa Rica,1990,4770
Costa Rica,2000,3500
Costa Rica,2010,3840
Costa Rica,2015,2110
Croatia,2000,160
Croatia,2010,190
Croatia,2015,30
Cyprus,1990,260
Cyprus,2000,210
Cyprus,2010,20
Cyprus,2015,10
Denmark,1990,4050
Denmark,2000,1660
Denmark,2010,7900
Denmark,2015,1370
Djibouti,1990,0
Djibouti,2000,0
Djibouti,2010,0
Djibouti,2015,200
Dominican Republic,1990,2780
Dominican Republic,2000,6490
Dominican Republic,2010,6710
Estonia,2000,3210
Estonia,2010,5640
Estonia,2015,1700
Falkland Islands,1990,0
Falkland Islands,2000,0
Falkland Islands,2010,0
Falkland Islands,2015,0
Finland,1990,9000
Finland,2000,1010
Finland,2010,4020
French Polynesia,1990,410
French Polynesia,2000,90
Georgia,2000,4970
Georgia,2010,0
Georgia,2015,0
Germany,1990,8000
Germany,2000,9000
Germany,2010,7000
Germany,2015,4000
Greenland,1990,0
Greenland,2000,0
Greenland,2010,0
Greenland,2015,0
Guadeloupe,1990,0
Guadeloupe,2000,0
Guadeloupe,2010,0
Guadeloupe,2015,0
Guinea,1990,12000
Guyana,1990,0
Guyana,2000,0
Guyana,2010,0
Guyana,2015,0
Hungary,1990,6210
Hungary,2000,10020
Hungary,2010,1030
Hungary,2015,460
Iceland,1990,1230
Iceland,2000,1440
Iceland,2010,660
Iceland,2015,600
Iraq,1990,0
Iraq,2000,0
Iraq,2010,0
Iraq,2015,0
Ireland,1990,16000
Ireland,2000,8130
Ireland,2010,5990
Ireland,2015,4600
Isle of Man,1990,0
Isle of Man,2000,0
Isle of Man,2010,0
Isle of Man,2015,0
Israel,2010,830
Israel,2015,350
Italy,1990,14880
Italy,2000,8150
Italy,2010,6840
Jamaica,1990,0
Jamaica,2000,10
Jamaica,2010,10
Jamaica,2015,10
Kuwait,1990,140
Kuwait,2000,140
Kuwait,2010,0
Kuwait,2015,0
Kyrgyzstan,2000,2880
Kyrgyzstan,2010,2430
Kyrgyzstan,2015,3800
Latvia,2000,1440
Latvia,2010,2130
Latvia,2015,1950
Liechtenstein,1990,30
Liechtenstein,2000,30
Liechtenstein,2010,30
Liechtenstein,2015,30
Lithuania,2000,2000
Lithuania,2010,3160
Lithuania,2015,2070
Madagascar,1990,3600
Maldives,1990,0
Maldives,2000,0
Maldives,2010,0
Maldives,2015,0
Mali,1990,5000
Mali,2000,30000
Mali,2010,0
Mali,2015,0
Martinique,1990,150
Martinique,2000,90
Martinique,2010,10
Martinique,2015,0
Mauritania,1990,32280
Mauritania,2000,2080
Mauritania,2010,2350
Mauritania,2015,2500
Mayotte,1990,30
Mayotte,2000,80
Mayotte,2010,10
Mayotte,2015,10
Mexico,1990,780
Mexico,2000,2710
Mexico,2010,3510
Mexico,2015,3300
Moldova,2000,4810
Moldova,2010,270
Moldova,2015,360
Monaco,1990,0
Monaco,2000,0
Monaco,2010,0
Monaco,2015,0
Mongolia,1990,110
Mongolia,2000,150
Mongolia,2010,300
Mongolia,2015,300
Montenegro,2010,500
Montenegro,2015,300
Morocco,1990,2900
Morocco,2000,17880
Morocco,2010,10880
Morocco,2015,11560
Mozambique,1990,0
Myanmar,1990,0
Myanmar,2000,27450
Myanmar,2010,20160
Myanmar,2015,4210
Nauru,1990,0
Nauru,2000,0
Nauru,2010,0
Nauru,2015,0
Nepal,1990,4000
Nepal,2000,8000
Nepal,2010,0
Nepal,2015,0
Netherlands,1990,2560
Netherlands,2000,4000
Netherlands,2010,2790
Netherlands,2015,3120
New Caledonia,1990,80
New Caledonia,2000,60
New Zealand,1990,62000
New Zealand,2000,15000
New Zealand,2010,8000
New Zealand,2015,12000
Nicaragua,1990,200
Nicaragua,2000,1370
Nicaragua,2010,5030
Nicaragua,2015,5030
Niger,1990,2500
Niger,2000,2500
Niger,2010,2500
Niger,2015,2500
North Macedonia,2000,710
North Macedonia,2010,760
North Macedonia,2015,400
Norway,1990,960
Norway,2000,320
Norway,2010,180
Norway,2015,150
Panama,1990,2420
Panama,2000,2310
Panama,2010,1100
Panama,2015,1080
Papua New Guinea,1990,0
Papua New Guinea,2000,0
Papua New Guinea,2010,0
Papua New Guinea,2015,0
Peru,1990,45210
Peru,2000,25480
Peru,2010,17450
Peru,2015,6260
Portugal,2010,26500
Qatar,1990,0
Qatar,2000,0
Qatar,2010,0
Qatar,2015,0
Romania,1990,1130
Romania,2000,2760
Romania,2010,1100
Romania,2015,480
Russia,2000,0
Russia,2010,0
Russia,2015,0
Saint Helena,1990,0
Saint Helena,2000,0
Saint Helena,2010,0
Saint Helena,2015,0
Saint Pierre and Miquelon,1990,0
Saint Pierre and Miquelon,2000,0
Saint Pierre and Miquelon,2010,0
Saint Pierre and Miquelon,2015,0
San Marino,1990,0
San Marino,2000,0
San Marino,2010,0
San Marino,2015,0
Serbia,2010,400
Serbia,2015,370
Singapore,1990,0
Singapore,2000,0
Singapore,2010,0
Singapore,2015,0
Slovakia,2000,200
Slovakia,2010,60
Slovakia,2015,120
Slovenia,2000,0
Slovenia,2010,0
Slovenia,2015,0
South Africa,1990,218000
South Africa,2000,37000
South Africa,2010,6000
South Africa,2015,3000
Spain,1990,133780
Spain,2000,40770
Spain,2010,10720
Spain,2015,4660
Sweden,1990,8870
Sweden,2000,11820
Sweden,2010,19550
Sweden,2015,13050
Switzerland,1990,80
Switzerland,2000,70
Switzerland,2010,0
Switzerland,2015,0
Thailand,1990,26700
Thailand,2000,125500
Thailand,2010,92000
Thailand,2015,0
Togo,1990,1000
Togo,2000,1500
Togo,2010,2000
Togo,2015,2000
Tokelau,1990,0
Tokelau,2000,0
Tokelau,2010,0
Tokelau,2015,0
Tunisia,1990,6710
Tunisia,2000,6300
Tunisia,2010,2950
Tunisia,2015,2100
Turkey,1990,22650
Turkey,2000,62910
Turkey,2010,75360
Turkey,2015,80200
Uganda,1990,9840
Uganda,2000,9840
Uganda,2010,9840
Uganda,2015,9840
Ukraine,2000,4000
Ukraine,2010,14500
Ukraine,2015,6000
United States,1990,59730
United States,2000,259000
United States,2010,247000
Uruguay,2000,35000
Uruguay,2010,18400
Uzbekistan,2000,38000
Uzbekistan,2010,23100
Uzbekistan,2015,26900
Vatican,1990,0
Vatican,2000,0
Vatican,2010,0
Vatican,2015,0
Venezuela,1990,16350
Venezuela,2000,19390
Venezuela,2010,17870
Venezuela,2015,17870
Vietnam,1990,117460
Vietnam,2000,116370
Vietnam,2010,160620
Vietnam,2015,97540
