Entity,Year,"Number of homicide victims among children (0-19) per 100,000 population"
Afghanistan,2015,8
Albania,2015,2
Algeria,2015,2
Antigua and Barbuda,2015,2.9
Argentina,2015,3
Armenia,2015,1
Australia,2015,1
Azerbaijan,2015,3
Bahamas,2015,5
Bangladesh,2015,1
Barbados,2015,3
Belarus,2015,1
Belgium,2015,1
Belize,2015,6
Benin,2015,5
Bhutan,2015,1
Bolivia,2015,7
Botswana,2015,7
Brazil,2015,17
Bulgaria,2015,1
Burkina Faso,2015,5
Burundi,2015,5
Cambodia,2015,4
Cameroon,2015,5
Canada,2015,2
Cape Verde,2015,1
Central African Republic,2015,5
Chad,2015,4
Chile,2015,2
China,2015,1
Colombia,2015,13
Comoros,2015,5
Congo,2015,5
Costa Rica,2015,5
Cote d'Ivoire,2015,9
Cuba,2015,2
Democratic Republic of Congo,2015,14
Dominican Republic,2015,4
Ecuador,2015,6
Egypt,2015,1
El Salvador,2015,27
Estonia,2015,1
Eswatini,2015,16
Ethiopia,2015,6
Fiji,2015,2
Finland,2015,1
Gambia,2015,6
Georgia,2015,1
Ghana,2015,5
Guatemala,2015,22
Guinea,2015,5
Guinea-Bissau,2015,6
Guyana,2015,6
Honduras,2015,13
Hungary,2015,1
India,2015,2
Indonesia,2015,1
Iran,2015,2
Iraq,2015,4
Israel,2015,1
Jamaica,2015,13
Jordan,2015,3
Kazakhstan,2015,1
Kenya,2015,3
Kiribati,2015,3.1
Korea,2015,1
Laos,2015,3
Latvia,2015,1
Lebanon,2015,1
Lesotho,2015,18
Liberia,2015,4
Libya,2015,1
Lithuania,2015,1
Madagascar,2015,8
Malawi,2015,1
Malaysia,2015,1
Maldives,2015,1
Mali,2015,5
Mauritania,2015,3
Mauritius,2015,1
Mexico,2015,7
Moldova,2015,1
Mongolia,2015,2
Montenegro,2015,1
Morocco,2015,1
Mozambique,2015,7
Myanmar,2015,7
Namibia,2015,6
Nepal,2015,1
New Zealand,2015,1
Nicaragua,2015,4
Niger,2015,3
Nigeria,2015,14
Pakistan,2015,4
Palestine,2015,4.5
Panama,2015,15
Papua New Guinea,2015,3
Paraguay,2015,7
Peru,2015,2
Philippines,2015,3
Poland,2015,1
Romania,2015,1
Russia,2015,2
Rwanda,2015,13
Saint Lucia,2015,0.4
Samoa,2015,4.1
Saudi Arabia,2015,1
Senegal,2015,1
Serbia,2015,1
Seychelles,2015,11.2
Sierra Leone,2015,9
Solomon Islands,2015,3
South Africa,2015,8
Sri Lanka,2015,1
Sudan,2015,6
Syria,2015,1
Tajikistan,2015,1
Tanzania,2015,6
Thailand,2015,2
Timor,2015,2
Togo,2015,7
Tonga,2015,1.5
Trinidad and Tobago,2015,12
Tunisia,2015,1
Turkey,2015,2
Turkmenistan,2015,4
Uganda,2015,10
Ukraine,2015,1
United Arab Emirates,2015,2
United States,2015,4
Uruguay,2015,2
Uzbekistan,2015,1
Vanuatu,2015,3.4
Venezuela,2015,20
Vietnam,2015,1
Yemen,2015,2
Zambia,2015,6
Zimbabwe,2015,5
