Entity,Day,total_boosters_per_hundred
Afghanistan,2023/2/19,0.52
Afghanistan,2023/2/23,0.72
Afghanistan,2023/2/26,1.31
Afghanistan,2023/2/28,1.56
Afghanistan,2023/3/5,2.18
Afghanistan,2023/3/12,2.37
Afghanistan,2023/3/14,2.37
Afghanistan,2023/3/19,2.46
Afghanistan,2023/3/21,2.46
Africa,2021/10/28,0
Africa,2021/10/29,0
Africa,2021/10/30,0.01
Africa,2021/10/31,0.01
Africa,2021/11/1,0.01
Africa,2021/11/2,0.01
Africa,2021/11/3,0.01
Africa,2021/11/4,0.01
Africa,2021/11/5,0.01
Africa,2021/11/6,0.01
Africa,2021/11/7,0.01
Africa,2021/11/8,0.01
Africa,2021/11/9,0.01
Africa,2021/11/10,0.02
Africa,2021/11/11,0.02
Africa,2021/11/12,0.02
Africa,2021/11/13,0.02
Africa,2021/11/14,0.02
Africa,2021/11/15,0.02
Africa,2021/11/16,0.02
Africa,2021/11/17,0.02
Africa,2021/11/18,0.02
Africa,2021/11/19,0.02
Africa,2021/11/20,0.02
Africa,2021/11/21,0.02
Africa,2021/11/22,0.02
Africa,2021/11/23,0.02
Africa,2021/11/24,0.02
Africa,2021/11/25,0.03
Africa,2021/11/26,0.03
Africa,2021/11/27,0.03
Africa,2021/11/28,0.03
Africa,2021/11/29,0.03
Africa,2021/11/30,0.03
Africa,2021/12/1,0.03
Africa,2021/12/2,0.03
Africa,2021/12/3,0.03
Africa,2021/12/4,0.03
Africa,2021/12/5,0.03
Africa,2021/12/6,0.04
Africa,2021/12/7,0.04
Africa,2021/12/8,0.04
Africa,2021/12/9,0.04
Africa,2021/12/10,0.04
Africa,2021/12/11,0.04
Africa,2021/12/12,0.04
Africa,2021/12/13,0.04
Africa,2021/12/14,0.05
Africa,2021/12/15,0.05
Africa,2021/12/16,0.05
Africa,2021/12/17,0.05
Africa,2021/12/18,0.05
Africa,2021/12/19,0.05
Africa,2021/12/20,0.05
Africa,2021/12/21,0.05
Africa,2021/12/22,0.05
Africa,2021/12/23,0.05
Africa,2021/12/24,0.06
Africa,2021/12/25,0.06
Africa,2021/12/26,0.06
Africa,2021/12/27,0.06
Africa,2021/12/28,0.06
Africa,2021/12/29,0.06
Africa,2021/12/30,0.06
Africa,2021/12/31,0.06
Africa,2022/1/1,0.06
Africa,2022/1/2,0.06
Africa,2022/1/3,0.07
Africa,2022/1/4,0.07
Africa,2022/1/5,0.07
Africa,2022/1/6,0.07
Africa,2022/1/7,0.07
Africa,2022/1/8,0.07
Africa,2022/1/9,0.07
Africa,2022/1/10,0.07
Africa,2022/1/11,0.07
Africa,2022/1/12,0.07
Africa,2022/1/13,0.08
Africa,2022/1/14,0.08
Africa,2022/1/15,0.08
Africa,2022/1/16,0.08
Africa,2022/1/17,0.11
Africa,2022/1/18,0.11
Africa,2022/1/19,0.11
Africa,2022/1/20,0.11
Africa,2022/1/21,0.17
Africa,2022/1/22,0.17
Africa,2022/1/23,0.17
Africa,2022/1/24,0.18
Africa,2022/1/25,0.18
Africa,2022/1/26,0.18
Africa,2022/1/27,0.18
Africa,2022/1/28,0.19
Africa,2022/1/29,0.19
Africa,2022/1/30,0.19
Africa,2022/1/31,0.19
Africa,2022/2/1,0.19
Africa,2022/2/2,0.19
Africa,2022/2/3,0.19
Africa,2022/2/4,0.2
Africa,2022/2/5,0.2
Africa,2022/2/6,0.2
Africa,2022/2/7,0.2
Africa,2022/2/8,0.2
Africa,2022/2/9,0.21
Africa,2022/2/10,0.21
Africa,2022/2/11,0.21
Africa,2022/2/12,0.21
Africa,2022/2/13,0.21
Africa,2022/2/14,0.21
Africa,2022/2/15,0.21
Africa,2022/2/16,0.22
Africa,2022/2/17,0.77
Africa,2022/2/18,0.78
Africa,2022/2/19,0.78
Africa,2022/2/20,0.78
Africa,2022/2/21,0.78
Africa,2022/2/22,0.78
Africa,2022/2/23,0.79
Africa,2022/2/24,0.91
Africa,2022/2/25,0.92
Africa,2022/2/26,0.92
Africa,2022/2/27,0.92
Africa,2022/2/28,0.92
Africa,2022/3/1,0.93
Africa,2022/3/2,0.93
Africa,2022/3/3,0.93
Africa,2022/3/4,0.98
Africa,2022/3/5,0.98
Africa,2022/3/6,0.98
Africa,2022/3/7,0.99
Africa,2022/3/8,0.99
Africa,2022/3/9,1
Africa,2022/3/10,1.03
Africa,2022/3/11,1.04
Africa,2022/3/12,1.04
Africa,2022/3/13,1.05
Africa,2022/3/14,1.05
Africa,2022/3/15,1.05
Africa,2022/3/16,1.06
Africa,2022/3/17,1.08
Africa,2022/3/18,1.09
Africa,2022/3/19,1.09
Africa,2022/3/20,1.12
Africa,2022/3/21,1.13
Africa,2022/3/22,1.13
Africa,2022/3/23,1.14
Africa,2022/3/24,1.16
Africa,2022/3/25,1.16
Africa,2022/3/26,1.17
Africa,2022/3/27,1.26
Africa,2022/3/28,1.26
Africa,2022/3/29,1.29
Africa,2022/3/30,1.29
Africa,2022/3/31,1.32
Africa,2022/4/1,1.32
Africa,2022/4/2,1.32
Africa,2022/4/3,1.33
Africa,2022/4/4,1.34
Africa,2022/4/5,1.34
Africa,2022/4/6,1.34
Africa,2022/4/7,1.35
Africa,2022/4/8,1.35
Africa,2022/4/9,1.36
Africa,2022/4/10,1.36
Africa,2022/4/11,1.37
Africa,2022/4/12,1.38
Africa,2022/4/13,1.38
Africa,2022/4/14,1.39
Africa,2022/4/15,1.39
Africa,2022/4/16,1.39
Africa,2022/4/17,1.39
Africa,2022/4/18,1.39
Africa,2022/4/19,1.39
Africa,2022/4/20,1.39
Africa,2022/4/21,1.4
Africa,2022/4/22,1.4
Africa,2022/4/23,1.42
Africa,2022/4/24,1.42
Africa,2022/4/25,1.42
Africa,2022/4/26,1.49
Africa,2022/4/27,1.5
Africa,2022/4/28,1.5
Africa,2022/4/29,1.5
Africa,2022/4/30,1.51
Africa,2022/5/1,1.55
Africa,2022/5/2,1.55
Africa,2022/5/3,1.55
Africa,2022/5/4,1.56
Africa,2022/5/5,1.56
Africa,2022/5/6,1.57
Africa,2022/5/7,1.57
Africa,2022/5/8,1.59
Africa,2022/5/9,1.59
Africa,2022/5/10,1.6
Africa,2022/5/11,1.6
Africa,2022/5/12,1.6
Africa,2022/5/13,1.6
Africa,2022/5/14,1.62
Africa,2022/5/15,1.63
Africa,2022/5/16,1.63
Africa,2022/5/17,1.63
Africa,2022/5/18,1.64
Africa,2022/5/19,1.64
Africa,2022/5/20,1.64
Africa,2022/5/21,1.64
Africa,2022/5/22,1.66
Africa,2022/5/23,1.66
Africa,2022/5/24,1.66
Africa,2022/5/25,1.66
Africa,2022/5/26,1.66
Africa,2022/5/27,1.66
Africa,2022/5/28,1.67
Africa,2022/5/29,1.69
Africa,2022/5/30,1.69
Africa,2022/5/31,1.69
Africa,2022/6/1,1.69
Africa,2022/6/2,1.69
Africa,2022/6/3,1.69
Africa,2022/6/4,1.7
Africa,2022/6/5,1.71
Africa,2022/6/6,1.71
Africa,2022/6/7,1.71
Africa,2022/6/8,1.71
Africa,2022/6/9,1.71
Africa,2022/6/10,1.71
Africa,2022/6/11,1.71
Africa,2022/6/12,1.71
Africa,2022/6/13,1.71
Africa,2022/6/14,1.82
Africa,2022/6/15,1.83
Africa,2022/6/16,1.83
Africa,2022/6/17,1.83
Africa,2022/6/18,1.83
Africa,2022/6/19,1.9
Africa,2022/6/20,1.92
Africa,2022/6/21,1.92
Africa,2022/6/22,1.93
Africa,2022/6/23,1.93
Africa,2022/6/24,1.93
Africa,2022/6/25,1.93
