Entity,Day,total_boosters
Afghanistan,2023/2/19,213042
Afghanistan,2023/2/23,295208
Afghanistan,2023/2/26,536752
Afghanistan,2023/2/28,639602
Afghanistan,2023/3/5,896852
Afghanistan,2023/3/12,973787
Afghanistan,2023/3/14,973859
Afghanistan,2023/3/19,1012011
Afghanistan,2023/3/21,1012162
Africa,2021/10/28,28870
Africa,2021/10/29,32750
Africa,2021/10/30,71510
Africa,2021/10/31,71510
Africa,2021/11/1,124228
Africa,2021/11/2,142786
Africa,2021/11/3,153756
Africa,2021/11/4,163744
Africa,2021/11/5,173532
Africa,2021/11/6,179218
Africa,2021/11/7,189449
Africa,2021/11/8,202552
Africa,2021/11/9,213310
Africa,2021/11/10,223337
Africa,2021/11/11,233093
Africa,2021/11/12,243348
Africa,2021/11/13,256524
Africa,2021/11/14,263155
Africa,2021/11/15,272326
Africa,2021/11/16,280269
Africa,2021/11/17,290842
Africa,2021/11/18,295394
Africa,2021/11/19,301875
Africa,2021/11/20,305078
Africa,2021/11/21,318245
Africa,2021/11/22,337494
Africa,2021/11/23,350256
Africa,2021/11/24,356468
Africa,2021/11/25,375609
Africa,2021/11/26,389958
Africa,2021/11/27,405021
Africa,2021/11/28,413523
Africa,2021/11/29,436553
Africa,2021/11/30,450385
Africa,2021/12/1,457450
Africa,2021/12/2,463718
Africa,2021/12/3,470619
Africa,2021/12/4,479959
Africa,2021/12/5,494730
Africa,2021/12/6,512730
Africa,2021/12/7,535575
Africa,2021/12/8,558641
Africa,2021/12/9,574335
Africa,2021/12/10,593495
Africa,2021/12/11,608185
Africa,2021/12/12,617549
Africa,2021/12/13,633454
Africa,2021/12/14,644723
Africa,2021/12/15,663869
Africa,2021/12/16,674557
Africa,2021/12/17,689618
Africa,2021/12/18,712728
Africa,2021/12/19,726927
Africa,2021/12/20,747911
Africa,2021/12/21,747911
Africa,2021/12/22,747911
Africa,2021/12/23,777325
Africa,2021/12/24,793885
Africa,2021/12/25,793885
Africa,2021/12/26,830873
Africa,2021/12/27,843010
Africa,2021/12/28,851963
