Entity,Year,OEC ECI Ranking (Observatory of Economic Complexity (2016))
Albania,1964,44
Albania,1965,43
Albania,1966,43
Albania,1967,36
Albania,1968,41
Albania,1969,43
Albania,1970,44
Albania,1971,41
Albania,1972,43
Albania,1973,48
Albania,1974,53
Albania,1975,53
Albania,1976,55
Albania,1977,62
Albania,1978,48
Albania,1979,48
Albania,1980,30
Albania,1981,38
Albania,1982,34
Albania,1983,39
Albania,1984,51
Albania,1985,57
Albania,1986,64
Albania,1987,57
Albania,1988,58
Albania,1989,59
Albania,1990,54
Albania,1991,55
Albania,1992,65
Albania,1993,67
Albania,1994,66
Albania,1995,69
Albania,1996,70
Albania,1997,72
Albania,1998,71
Albania,1999,73
Albania,2000,69
Albania,2001,59
Albania,2002,56
Albania,2003,59
Albania,2004,65
Albania,2005,69
Albania,2006,75
Albania,2007,79
Albania,2008,52
Albania,2009,37
Albania,2010,38
Albania,2011,46
Albania,2012,76
Albania,2013,79
Albania,2014,75
Albania,2015,78
Albania,2016,71
Algeria,1964,40
Algeria,1965,48
Algeria,1966,55
Algeria,1967,54
Algeria,1968,60
Algeria,1969,59
Algeria,1970,58
Algeria,1971,59
Algeria,1972,67
Algeria,1973,66
Algeria,1974,74
Algeria,1975,71
Algeria,1976,74
Algeria,1977,75
Algeria,1978,79
Algeria,1979,78
Algeria,1980,77
Algeria,1981,84
Algeria,1982,85
Algeria,1983,88
Algeria,1984,88
Algeria,1985,88
Algeria,1986,89
Algeria,1987,76
Algeria,1988,59
Algeria,1989,58
Algeria,1990,75
Algeria,1991,74
Algeria,1992,90
Algeria,1993,90
Algeria,1994,86
Algeria,1995,90
Algeria,1996,86
Algeria,1997,93
Algeria,1998,94
Algeria,1999,86
Algeria,2000,97
Algeria,2001,98
Algeria,2002,93
Algeria,2003,97
Algeria,2004,103
Algeria,2005,103
Algeria,2006,90
Algeria,2007,88
Algeria,2008,105
Algeria,2009,107
Algeria,2010,109
Algeria,2011,114
Algeria,2012,114
Algeria,2013,110
Algeria,2014,104
Algeria,2015,105
Algeria,2016,64
Angola,1964,89
Angola,1965,88
Angola,1966,87
Angola,1967,84
Angola,1968,91
Angola,1969,90
Angola,1970,90
Angola,1971,90
Angola,1972,93
Angola,1973,86
Angola,1974,87
Angola,1975,91
Angola,1976,90
Angola,1977,94
Angola,1978,95
Angola,1979,94
Angola,1980,94
Angola,1981,97
Angola,1982,97
Angola,1983,97
Angola,1984,98
Angola,1985,99
Angola,1986,99
Angola,1987,90
Angola,1988,98
Angola,1989,92
Angola,1990,98
Angola,1991,100
Angola,1992,114
Angola,1993,114
Angola,1994,110
Angola,1995,117
Angola,1996,117
Angola,1997,117
Angola,1998,115
Angola,1999,115
Angola,2000,117
Angola,2001,117
Angola,2002,120
Angola,2003,120
Angola,2004,88
Angola,2005,88
Angola,2006,92
Angola,2007,119
Angola,2008,120
Angola,2009,119
Angola,2010,120
Angola,2011,121
Angola,2012,119
Argentina,1964,49
Argentina,1965,42
Argentina,1966,46
Argentina,1967,49
Argentina,1968,52
Argentina,1969,50
Argentina,1970,49
Argentina,1971,47
Argentina,1972,47
Argentina,1973,41
Argentina,1974,39
Argentina,1975,35
Argentina,1976,45
Argentina,1977,44
Argentina,1978,45
Argentina,1979,46
Argentina,1980,52
Argentina,1981,52
Argentina,1982,48
Argentina,1983,45
Argentina,1984,45
Argentina,1985,44
Argentina,1986,46
Argentina,1987,42
Argentina,1988,42
Argentina,1989,42
Argentina,1990,43
Argentina,1991,41
Argentina,1992,55
Argentina,1993,54
Argentina,1994,58
Argentina,1995,56
Argentina,1996,57
Argentina,1997,56
Argentina,1998,57
Argentina,1999,56
Argentina,2000,53
Argentina,2001,54
Argentina,2002,59
Argentina,2003,58
Argentina,2004,54
Argentina,2005,51
Argentina,2006,51
Argentina,2007,53
Argentina,2008,54
Argentina,2009,58
Argentina,2010,60
Argentina,2011,60
Argentina,2012,64
Argentina,2013,70
Argentina,2014,72
Argentina,2015,72
Argentina,2016,60
Australia,1964,34
Australia,1965,34
Australia,1966,34
Australia,1967,37
Australia,1968,35
Australia,1969,37
Australia,1970,40
Australia,1971,42
Australia,1972,46
Australia,1973,47
Australia,1974,47
Australia,1975,49
Australia,1976,52
Australia,1977,53
Australia,1978,50
Australia,1979,47
Australia,1980,51
Australia,1981,54
Australia,1982,46
