Entity,Year,excess_phosphorous_per_ha
Afghanistan,2009,0.69938
Albania,2009,13.6271
Algeria,2009,6.019
Angola,2009,-1.4618
Antigua and Barbuda,2009,-1.0204
Argentina,2009,-2.7261
Armenia,2009,0.39835
Australia,2009,10.7712
Austria,2009,6.0581
Azerbaijan,2009,2.9136
Bahamas,2009,-1.2804
Bahrain,2009,15.5971
Bangladesh,2009,15.4148
Barbados,2009,-3.628
Belarus,2009,6.6645
Belgium,2009,66.6424
Belize,2009,16.3178
Benin,2009,5.2732
Bhutan,2009,9.4856
Bolivia,2009,-2.797
Bosnia and Herzegovina,2009,1.2509
Botswana,2009,2.8203
Brazil,2009,19.7486
Brunei,2009,39.8283
Bulgaria,2009,-1.1384
Burkina Faso,2009,6.9766
Burundi,2009,0.33281
Cambodia,2009,6.5782
Cameroon,2009,11.2011
Canada,2009,1.4628
Cape Verde,2009,-1.1577
Cayman Islands,2009,-0.16068
Central African Republic,2009,13.3772
Chad,2009,1.2095
Chile,2009,35.0716
China,2009,28.029
Colombia,2009,13.4776
Comoros,2009,-5.166
Congo,2009,-0.56358
Costa Rica,2009,22.5861
Cote d'Ivoire,2009,0.39324
Croatia,2009,8.9817
Cuba,2009,14.4898
Cyprus,2009,37.621
Czechia,2009,2.7038
Democratic Republic of Congo,2009,-1.0242
Denmark,2009,4.0249
Djibouti,2009,13.4161
Dominica,2009,-3.2758
Dominican Republic,2009,14.5072
Ecuador,2009,13.6035
Egypt,2009,2.6897
El Salvador,2009,11.6073
Equatorial Guinea,2009,1.2797
Eritrea,2009,3.4539
Estonia,2009,13.7662
Eswatini,2009,7.1057
Ethiopia,2009,17.7288
Fiji,2009,-7.6133
Finland,2009,8.6386
France,2009,2.9106
French Guiana,2009,7.2151
Gabon,2009,2.186
Gambia,2009,4.0954
Georgia,2009,4.5247
Germany,2009,4.7301
Ghana,2009,-0.16773
Greece,2009,9.7547
Grenada,2009,-3.1404
Guadeloupe,2009,-2.5222
Guam,2009,-25.2646
Guatemala,2009,16.552
Guinea,2009,0.38031
Guinea-Bissau,2009,2.3878
Guyana,2009,-2.719
Haiti,2009,11.6661
Honduras,2009,13.6734
Hong Kong,2009,-1.9532
Hungary,2009,0.12654
India,2009,16.8166
Indonesia,2009,0.88696
Iran,2009,8.111
Iraq,2009,41.1554
Ireland,2009,43.8696
Israel,2009,33.6958
Italy,2009,17.1672
Jamaica,2009,3.4541
Japan,2009,69.2984
Jordan,2009,72.651
Kazakhstan,2009,-3.2345
Kenya,2009,12.8662
Kosovo,2009,1.3497
Kuwait,2009,23.6111
Kyrgyzstan,2009,-6.7879
Laos,2009,5.3062
Latvia,2009,0.7646
Lebanon,2009,51.8408
Liberia,2009,1.5472
Libya,2009,16.6737
Lithuania,2009,1.8795
Luxembourg,2009,48.9952
Macao,2009,-6.2585
Madagascar,2009,2.5093
Malawi,2009,3.5026
Malaysia,2009,-3.4545
Mali,2009,2.8615
Malta,2009,-5.2263
Martinique,2009,-2.5348
Mauritania,2009,10.0124
Mauritius,2009,-4.1144
Mexico,2009,16.3619
Moldova,2009,-2.5611
Mongolia,2009,-2.1712
Montenegro,2009,-1.2624
Montserrat,2009,-0.92798
Morocco,2009,10.5364
Mozambique,2009,-2.078
Myanmar,2009,2.4496
Namibia,2009,6.8699
Nepal,2009,12.4896
Netherlands,2009,45.2758
New Caledonia,2009,-8.1899
New Zealand,2009,73.2678
Nicaragua,2009,9.3631
Niger,2009,0.96529
Nigeria,2009,2.3776
North Korea,2009,10.1116
North Macedonia,2009,4.7185
Northern Cyprus,2009,37.1868
Northern Mariana Islands,2009,-25.2646
Norway,2009,19.4411
Oman,2009,6.7125
Pakistan,2009,21.3034
Palestine,2009,37.9329
Panama,2009,21.4134
Papua New Guinea,2009,5.6669
Paraguay,2009,-1.1026
Peru,2009,9.7444
Philippines,2009,4.1565
Poland,2009,11.4279
Portugal,2009,16.123
Puerto Rico,2009,16.0516
Reunion,2009,-3.9772
Romania,2009,-0.45356
Russia,2009,-1.4404
Rwanda,2009,2.227
Saint Kitts and Nevis,2009,-4.2723
Saint Lucia,2009,-3.9205
Saint Vincent and the Grenadines,2009,-2.5673
San Marino,2009,11.7919
Sao Tome and Principe,2009,-4.8636
Saudi Arabia,2009,50.2904
Senegal,2009,7.307
Serbia,2009,-1.9371
Sierra Leone,2009,5.2622
Singapore,2009,79.9783
Slovakia,2009,-0.030679
Slovenia,2009,29.8636
Solomon Islands,2009,-22.5131
Somalia,2009,1.3879
South Africa,2009,9.3832
South Korea,2009,58.492
South Sudan,2009,6.8739
Spain,2009,15.2517
Sri Lanka,2009,3.5944
Sudan,2009,4.8193
Suriname,2009,0.03397
Sweden,2009,1.4779
Switzerland,2009,9.5664
Syria,2009,6.4166
Taiwan,2009,24.5985
Tajikistan,2009,-1.2481
Tanzania,2009,-0.14536
Thailand,2009,10.5266
Timor,2009,15.3718
Togo,2009,3.753
Trinidad and Tobago,2009,-0.061076
Tunisia,2009,10.6797
Turkey,2009,10.5094
Turkmenistan,2009,-6.4068
Uganda,2009,5.2626
Ukraine,2009,-1.3729
United Arab Emirates,2009,10.7122
United Kingdom,2009,5.1699
United States,2009,6.4409
Uruguay,2009,24.4869
Uzbekistan,2009,4.7862
Vanuatu,2009,-16.1631
Venezuela,2009,18.1127
Vietnam,2009,23.628
Yemen,2009,0.80588
Zambia,2009,0.28589
Zimbabwe,2009,4.4625
