Entity,Year,"Employment to population ratio, 15+, female (%) (national estimate)"
Afghanistan,2008,42.83000183
Afghanistan,2012,15.47999954
Afghanistan,2014,23.18000031
Afghanistan,2017,18.20000076
Afghanistan,2020,13.72999954
Albania,2004,39
Albania,2007,30.69000053
Albania,2008,39.38999939
Albania,2009,38.90999985
Albania,2010,39.43999863
Albania,2011,45.27000046
Albania,2012,43.22999954
Albania,2013,38.04000092
Albania,2014,37.15999985
Albania,2015,38.97999954
Albania,2016,42.54000092
Albania,2017,43.36999893
Albania,2018,45.22000122
Albania,2019,46.88999939
Algeria,1975,2.5
Algeria,1984,4.769999981
Algeria,2009,11.42000008
Algeria,2010,11.44999981
Algeria,2014,12.35000038
Algeria,2015,13.60000038
Algeria,2016,13.85000038
Algeria,2017,13.46000004
Angola,2004,46.29999924
Angola,2009,59.20999908
Angola,2010,67.43000031
Angola,2011,69.12999725
Angola,2014,33.65000153
Antigua and Barbuda,1991,59.38000107
Antigua and Barbuda,2001,60.47000122
Argentina,1990,31.89999962
Argentina,1991,32
Argentina,1992,33.09999847
Argentina,1993,33.29999924
Argentina,1994,31.10000038
Argentina,1995,31.5
Argentina,1996,31.70000076
Argentina,1997,33.59999847
Argentina,1998,35
Argentina,1999,35.79999924
Argentina,2000,37.20000076
Argentina,2001,35.5
Argentina,2002,37.59999847
Argentina,2003,41.20000076
Argentina,2004,42.38999939
Argentina,2005,42.79000092
Argentina,2006,43.91999817
Argentina,2007,43.40000153
Argentina,2008,43.72999954
Argentina,2009,44.29999924
Argentina,2010,43.63999939
Argentina,2011,44.15000153
Argentina,2012,44.13000107
Argentina,2013,43.90000153
Argentina,2014,43.72000122
Argentina,2017,43.47000122
Argentina,2018,44.31999969
Argentina,2019,44.91999817
Argentina,2020,41.02000046
Armenia,2000,29.72999954
Armenia,2007,38.22999954
Armenia,2008,36.04000092
Armenia,2009,37.40000153
Armenia,2010,41.13000107
Armenia,2011,41.13999939
Armenia,2012,40.68000031
Armenia,2013,42.02000046
Armenia,2014,44.47000122
Armenia,2015,43.75
Armenia,2016,43.20999908
Armenia,2017,43.54000092
Armenia,2018,37.86999893
Armenia,2019,39.88999939
Armenia,2020,38.34999847
Aruba,1991,47.68000031
Aruba,2000,51.93000031
Aruba,2007,55.61000061
Aruba,2010,53.31000137
