Entity,Year,fish-discards
Albania,1950,155.8240938
Albania,1951,171.4065031
Albania,1952,218.1537312
Albania,1953,264.9009593
Albania,1954,249.3185499
Albania,1955,264.9009593
Albania,1956,264.9009593
Albania,1957,280.4833687
Albania,1958,264.9009593
Albania,1959,280.4833687
Albania,1960,264.9009593
Albania,1961,327.2305969
Albania,1962,280.4833687
Albania,1963,311.6481874
Albania,1964,311.6481874
Albania,1965,405.1426436
Albania,1966,405.1426436
Albania,1967,1127.686646
Albania,1968,1366.892904
Albania,1969,1571.92684
Albania,1970,1811.133098
Albania,1971,1811.133098
Albania,1972,1811.133098
Albania,1973,1811.133098
Albania,1974,1879.477743
Albania,1975,1879.477743
Albania,1976,1878.794296
Albania,1977,1876.06051
Albania,1978,2046.922124
Albania,1979,2033.253195
Albania,1980,2016.167033
Albania,1981,2099.205778
Albania,1982,1836.942175
Albania,1983,1976.366546
Albania,1984,1458.06129
Albania,1985,2458.537095
Albania,1986,2325.146179
Albania,1987,2652.032845
Albania,1988,2625.653643
Albania,1989,2289.415111
Albania,1990,2441.563087
Albania,1991,667.1807636
Albania,1992,414.6004049
Albania,1993,438.7176874
Albania,1994,408.3134078
Albania,1995,290.5106928
Albania,1996,505.8254589
Albania,1997,217.0837406
Albania,1998,531.1727111
Albania,1999,553.0330058
Albania,2000,722.1454843
Albania,2001,515.9750052
Albania,2002,719.089203
Albania,2003,342.2171183
Albania,2004,792.730174
Albania,2005,868.3803693
Albania,2006,1010.91321
Albania,2007,898.825849
Albania,2008,1045.094323
Albania,2009,1145.445973
Albania,2010,959.3132593
Albania,2011,933.2863207
Albania,2012,2203.315053
Albania,2013,2294.435411
Albania,2014,1870.76623
Albania,2015,1773.292751
Albania,2016,1654.562096
Albania,2017,1649.340306
Albania,2018,1921.557797
Algeria,1950,4611.72231
Algeria,1951,4295.85092
Algeria,1952,4264.26378
Algeria,1953,4359.025198
Algeria,1954,4327.438059
Algeria,1955,4611.72231
Algeria,1956,4801.245145
Algeria,1957,4643.309449
Algeria,1958,4832.832284
Algeria,1959,4801.245145
Algeria,1960,4927.593702
Algeria,1961,4990.76798
Algeria,1962,2369.035434
Algeria,1963,2369.035434
Algeria,1964,2400.622573
Algeria,1965,2400.622573
