Entity,Year,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Retail,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Out-of-home consumption,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Households
Afghanistan,2019,15.64,27.65,81.73
Africa (UN),2019,15.43,,110.03
Algeria,2019,15.64,27.65,91.02
American Samoa,2019,15.64,27.64,75.7
Andorra,2019,12.8,25.56,84.22
Angola,2019,15.64,27.65,99.59
Antigua and Barbuda,2019,12.81,25.57,73.91
Argentina,2019,15.64,27.65,72.43
Armenia,2019,15.64,27.65,93.04
Aruba,2019,12.81,25.57,73.91
Asia (UN),2019,15.85,,65.68
Australia,2019,9.45,21.68,101.7
Austria,2019,8.63,28.39,39
Azerbaijan,2019,15.64,27.65,93.04
Bahamas,2019,12.81,25.57,73.92
Bahrain,2019,12.81,25.57,131.71
Bangladesh,2019,15.64,3.34,65.12
Barbados,2019,12.81,25.57,73.92
Belarus,2019,15.64,27.65,68.38
Belgium,2019,9.71,19.7,49.92
Belize,2019,15.64,27.65,52.68
Benin,2019,15.64,27.65,99.59
Bermuda,2019,12.81,25.57,73.68
Bhutan,2019,15.64,27.65,78.63
Bolivia,2019,15.64,27.65,80.08
Bosnia and Herzegovina,2019,15.64,27.65,82.78
Botswana,2019,15.64,27.65,91.94
Brazil,2019,15.64,27.65,59.6
British Virgin Islands,2019,12.8,25.54,73.84
Brunei,2019,12.81,25.57,80.17
Bulgaria,2019,15.64,27.65,68.38
Burkina Faso,2019,15.64,27.65,102.69
Burundi,2019,15.64,27.65,102.69
Cambodia,2019,15.64,27.65,86.34
Cameroon,2019,15.64,27.65,99.59
Canada,2019,12.81,25.57,78.54
Cape Verde,2019,15.64,27.65,99.58
Cayman Islands,2019,12.8,25.55,73.87
Central African Republic,2019,15.64,27.65,102.69
Central and Southern Asia (UN),2019,15.64,,57.56
Chad,2019,15.64,27.65,102.69
Chile,2019,12.81,25.57,73.92
China,2019,15.64,45.6,63.92
Colombia,2019,15.64,27.65,70.43
Comoros,2019,15.64,27.65,99.59
Congo,2019,15.64,27.65,99.59
Costa Rica,2019,15.64,27.65,72.43
Cote d'Ivoire,2019,15.64,27.65,99.59
Croatia,2019,12.81,25.57,84.27
Cuba,2019,15.64,27.65,72.43
Curacao,2019,12.81,25.57,73.91
Cyprus,2019,12.81,25.57,94.53
Czechia,2019,12.81,25.57,69.87
Democratic Republic of Congo,2019,15.64,27.65,102.69
Denmark,2019,29.8,20.64,81.33
Djibouti,2019,15.64,27.65,99.6
Dominica,2019,15.64,27.64,72.42
Dominican Republic,2019,15.64,27.65,72.43
Eastern and South-Eastern Asia (UN),2019,15.89,,68.41
Ecuador,2019,15.64,27.65,72.43
Egypt,2019,15.64,27.65,91.02
El Salvador,2019,15.64,27.65,80.08
Equatorial Guinea,2019,15.64,27.65,91.94
Eritrea,2019,15.64,27.65,102.69
Estonia,2019,4.71,16.61,77.5
Eswatini,2019,15.64,27.65,99.59
Ethiopia,2019,15.64,27.65,92.14
Europe (UN),2019,11.97,,66.11
Europe and Northern America (UN),2019,13.09,,64.38
Faeroe Islands,2019,12.82,25.58,76.22
Fiji,2019,15.64,27.65,75.72
Finland,2019,12.81,23.31,65.42
France,2019,25.6,24.48,84.79
French Polynesia,2019,12.81,25.57,78.69
Gabon,2019,15.64,27.65,91.94
Gambia,2019,15.64,27.65,102.69
Georgia,2019,15.64,27.65,100.97
Germany,2019,5.97,20.58,75
Ghana,2019,15.64,27.65,84.01
Gibraltar,2019,12.81,25.57,84.26
Greece,2019,7.38,25.57,141.69
Greenland,2019,12.82,25.59,73.74
Grenada,2019,15.64,27.65,72.43
Guam,2019,12.81,25.57,78.69
Guatemala,2019,15.64,27.65,72.43
Guinea,2019,15.64,27.65,102.69
Guinea-Bissau,2019,15.64,27.65,102.69
Guyana,2019,15.64,27.65,72.43
Haiti,2019,15.64,27.65,83.19
Honduras,2019,15.64,27.65,80.08
Hong Kong,2019,12.81,25.57,71.41
Hungary,2019,12.81,25.57,93.83
Iceland,2019,12.81,25.57,76.18
India,2019,15.64,27.65,50.32
Indonesia,2019,15.64,27.65,77.37
Iran,2019,15.64,27.65,70.98
Iraq,2019,15.64,27.65,120.44
Ireland,2019,12.81,56.15,54.7
Isle of Man,2019,12.81,25.57,76.2
Israel,2019,51.41,27.44,99.58
Italy,2019,3.63,25.57,67.05
Jamaica,2019,15.64,27.65,72.43
Japan,2019,8.63,14.75,64.32
Jordan,2019,15.64,27.65,93.04
Kazakhstan,2019,15.64,27.65,75.71
Kenya,2019,10.96,31.14,99.24
Kiribati,2019,15.64,27.65,91.01
Kuwait,2019,12.81,25.57,94.53
Kyrgyzstan,2019,15.64,27.65,91.02
Laos,2019,15.64,27.65,86.34
Latin America and the Caribbean (UN),2019,15.47,,72.85
Latvia,2019,12.81,25.57,76.18
Least Developed Countries (LDCs),2019,15.66,,93.66
Lebanon,2019,15.64,27.65,104.66
Lesotho,2019,15.64,27.65,99.59
Liberia,2019,15.64,27.65,102.69
Libya,2019,15.64,27.65,75.71
Liechtenstein,2019,12.8,25.56,71.64
Lithuania,2019,12.81,25.57,76.18
Luxembourg,2019,7.2,20.9,89.25
Macao,2019,12.81,25.57,71.4
Madagascar,2019,15.64,27.65,102.69
Malawi,2019,15.64,27.65,102.69
Malaysia,2019,78.82,89.56,91.44
Maldives,2019,15.64,27.65,70.98
Mali,2019,15.64,27.65,102.69
Malta,2019,12.81,25.57,129.01
Marshall Islands,2019,15.64,27.65,75.72
Mauritania,2019,15.64,27.65,99.59
Mauritius,2019,12.81,25.57,93.43
Mexico,2019,15.64,27.65,93.9
Micronesia (country),2019,15.64,27.65,91.01
Moldova,2019,15.64,27.65,76.03
Monaco,2019,12.82,25.59,71.74
Mongolia,2019,15.64,27.65,77.57
Montenegro,2019,15.64,27.65,82.79
Morocco,2019,15.64,27.65,91.02
Mozambique,2019,15.64,27.65,102.69
Myanmar,2019,15.64,27.65,86.34
Namibia,2019,15.64,27.65,91.94
Nauru,2019,12.85,25.66,78.95
Nepal,2019,15.64,27.65,78.63
Netherlands,2019,11,25.57,50
New Caledonia,2019,12.81,25.57,78.7
New Zealand,2019,3.12,25.57,61
Nicaragua,2019,15.64,27.65,80.08
Niger,2019,15.64,27.65,102.69
Nigeria,2019,15.64,27.65,188.8
North Korea,2019,15.64,27.65,80.67
North Macedonia,2019,15.64,27.65,82.79
Northern Africa (UN),2019,15.6,,91.47
Northern America (UN),2019,15.36,,60.85
Northern Mariana Islands,2019,12.81,25.56,78.67
Norway,2019,13.77,4.96,78.8
Oceania (UN),2019,10.45,,93.21
Oman,2019,12.81,25.57,94.53
Pakistan,2019,15.64,27.65,73.64
Palau,2019,12.81,25.57,78.69
Palestine,2019,15.64,27.65,100.69
Panama,2019,12.81,25.57,73.92
Papua New Guinea,2019,15.64,27.65,91.02
Paraguay,2019,15.64,27.65,72.43
Peru,2019,15.64,27.65,72.43
Philippines,2019,15.64,27.65,86.34
Poland,2019,12.81,25.57,55.94
Portugal,2019,12.81,25.57,84.27
Puerto Rico,2019,12.81,25.57,73.92
Qatar,2019,12.81,25.57,94.53
Romania,2019,12.81,25.57,69.87
Russia,2019,13.72,27.65,33.38
Rwanda,2019,15.64,27.65,164.36
Saint Kitts and Nevis,2019,12.8,25.55,73.87
Saint Lucia,2019,15.64,27.65,72.43
Saint Martin (French part),2019,12.81,25.57,73.92
Saint Vincent and the Grenadines,2019,15.64,27.65,72.44
Samoa,2019,15.64,27.65,75.72
San Marino,2019,12.82,25.6,84.36
Sao Tome and Principe,2019,15.64,27.65,99.62
Saudi Arabia,2019,19.65,25.57,104.88
Senegal,2019,15.64,27.65,99.59
Serbia,2019,15.64,6,82.78
Seychelles,2019,12.81,25.56,93.39
Sierra Leone,2019,15.64,27.65,102.69
Singapore,2019,12.81,25.57,80.17
Sint Maarten (Dutch part),2019,12.81,25.58,73.94
Slovakia,2019,12.81,25.57,69.87
Slovenia,2019,6.69,20.08,34.21
Small Island Developing States (SIDS),2019,14.48,,76.65
Solomon Islands,2019,15.64,27.65,91.01
Somalia,2019,15.64,27.65,102.69
South Africa,2019,15.64,27.65,39.78
South Korea,2019,12.81,25.57,71.41
South Sudan,2019,15.64,27.65,102.69
Spain,2019,12.81,25.57,77.33
Sri Lanka,2019,15.64,27.65,75.87
Sub-Saharan Africa (UN),2019,15.39,,114.24
Sudan,2019,15.64,27.65,97.22
Suriname,2019,15.64,27.65,72.44
Sweden,2019,10,20.5,81
Switzerland,2019,12.81,40,71.68
Syria,2019,15.64,27.65,103.8
Tajikistan,2019,15.64,27.65,97.22
Tanzania,2019,15.64,27.65,119.09
Thailand,2019,15.64,27.65,78.69
Timor,2019,15.64,27.65,86.34
Togo,2019,15.64,27.65,102.69
Tonga,2019,15.64,27.65,75.72
Trinidad and Tobago,2019,12.81,25.57,73.92
Tunisia,2019,15.64,27.65,91.02
Turkey,2019,15.64,27.65,93.04
Turkmenistan,2019,15.64,27.65,75.71
Turks and Caicos Islands,2019,12.81,25.57,73.93
Tuvalu,2019,15.57,27.52,75.36
Uganda,2019,15.64,27.65,102.69
Ukraine,2019,15.64,27.65,76.03
United Arab Emirates,2019,12.81,25.57,94.53
United Kingdom,2019,4.2,16.5,77
United States,2019,15.65,63.62,58.83
United States Virgin Islands,2019,12.81,25.58,73.94
Uruguay,2019,12.81,25.57,73.92
Uzbekistan,2019,15.64,27.65,91.02
Vanuatu,2019,15.64,27.65,91.02
Venezuela,2019,15.64,27.65,72.43
Vietnam,2019,15.64,27.65,76.16
World,2019,15.32,,73.77
Yemen,2019,15.64,27.65,103.8
Zambia,2019,15.64,27.65,77.92
Zimbabwe,2019,15.64,27.65,99.59
