Entity,Year,"Hospital beds (per 1,000 people)"
Afghanistan,1960,0.170626998
Afghanistan,1970,0.199000001
Afghanistan,1981,0.275599986
Afghanistan,1987,0.309100002
Afghanistan,1990,0.249799997
Afghanistan,2000,0.300000012
Afghanistan,2001,0.389999986
Afghanistan,2002,0.389999986
Afghanistan,2003,0.389999986
Afghanistan,2004,0.389999986
Afghanistan,2005,0.419999987
Afghanistan,2006,0.419999987
Afghanistan,2007,0.419999987
Afghanistan,2008,0.419999987
Afghanistan,2009,0.419999987
Afghanistan,2010,0.430000007
Afghanistan,2011,0.439999998
Afghanistan,2012,0.529999971
Afghanistan,2013,0.529999971
Afghanistan,2014,0.5
Afghanistan,2015,0.5
Afghanistan,2016,0.5
Afghanistan,2017,0.389999986
Albania,1960,5.102675915
Albania,1980,4.271699905
Albania,1981,4.187099934
Albania,1982,4.160699844
Albania,1983,4.086200237
Albania,1984,4.138999939
Albania,1985,4.138800144
Albania,1986,4.069699764
Albania,1987,3.970000029
Albania,1988,3.935499907
Albania,1989,4.132100105
Albania,1990,4.02489996
Albania,1991,3.998699903
Albania,1992,4.013400078
Albania,1993,3.831399918
Albania,1994,3.017100096
Albania,1995,3.190000057
Albania,1996,3.140000105
Albania,1997,3.049999952
Albania,1998,3.049999952
Albania,1999,3.029999971
Albania,2000,3.25999999
Albania,2001,3.25999999
Albania,2002,3.140000105
Albania,2003,3.069999933
Albania,2004,3.00999999
Albania,2005,3.079999924
Albania,2006,3.119999886
Albania,2007,3.089999914
Albania,2009,3.00999999
Albania,2010,2.99000001
Albania,2011,2.880000114
Albania,2012,2.880000114
Albania,2013,2.890000105
Algeria,1960,3.187407494
Algeria,1970,2.842499971
Algeria,1986,2.488399982
Algeria,1988,2.628999949
Algeria,1989,2.564399958
Algeria,1990,2.499300003
Algeria,1994,2.103199959
Algeria,1998,2.099999905
Algeria,2004,1.700000048
Algeria,2015,1.899999976
Andorra,1996,3.180000067
Andorra,1997,3
Andorra,1998,3.089999914
Andorra,1999,3.200000048
Andorra,2000,3.200000048
Andorra,2001,2.589999914
Andorra,2003,3.299999952
Andorra,2005,2.700000048
Andorra,2006,2.599999905
Andorra,2007,2.599999905
Andorra,2009,2.5
Angola,1960,2.061461687
Angola,1970,2.720999956
Angola,1990,1.291300058
Angola,2005,0.800000012
Antigua and Barbuda,1960,7.706421852
Antigua and Barbuda,1970,6.53000021
Antigua and Barbuda,1990,6.599999905
Antigua and Barbuda,1993,6.104800224
Antigua and Barbuda,1996,3.880000114
Antigua and Barbuda,2001,2.599999905
Antigua and Barbuda,2002,2.299999952
