Entity,Year,Book titles per capita (Fink-Jensen 2015)
Algeria,1953,10.59620991
Algeria,1954,8.115622229
Algeria,1963,12.59660576
Algeria,1964,13.60560854
Algeria,1965,10.9503472
Algeria,1966,15.88441334
Algeria,1967,20.21864505
Algeria,1968,21.98342693
Algeria,1979,14.09769384
Algeria,1980,14.62294523
Algeria,1982,25.15754287
Algeria,1983,10.05754949
Algeria,1984,33.64487488
Algeria,1985,32.62383312
Algeria,1991,19.23145949
Algeria,1992,19.24067768
Algeria,1994,11.73628914
Algeria,1996,23.42326141
Argentina,1938,61.3523754
Argentina,1939,77.94622426
Argentina,1940,111.6521985
Argentina,1941,97.00041661
Argentina,1942,91.47424512
Argentina,1943,139.4770451
Argentina,1944,105.6179775
Argentina,1945,93.0474334
Argentina,1946,129.6154338
Argentina,1947,86.8147033
Argentina,1950,210.7830424
Argentina,1951,202.3137985
Argentina,1952,238.1277886
Argentina,1953,252.8685496
Argentina,1954,171.308086
Argentina,1955,138.2620852
Argentina,1957,130.5420586
Argentina,1958,131.5015101
Argentina,1959,182.484721
Argentina,1960,197.0798519
Argentina,1961,176.749258
Argentina,1962,156.1282597
Argentina,1963,184.5357898
Argentina,1964,151.2124973
Argentina,1965,158.8199128
Argentina,1966,160.0947903
Argentina,1967,158.9327741
Argentina,1969,186.2286084
Argentina,1970,193.094882
Argentina,1971,181.0061281
Argentina,1972,184.7472613
Argentina,1973,171.044397
Argentina,1974,186.9660234
Argentina,1975,197.1100243
Argentina,1976,253.2482413
Argentina,1977,195.8580525
Argentina,1978,168.6207775
Argentina,1979,159.5227807
Argentina,1980,165.5986354
Argentina,1981,147.3585691
Argentina,1982,169.1783157
Argentina,1983,141.5525114
Argentina,1986,154.6957778
Argentina,1987,152.916996
Argentina,1990,148.7770917
Argentina,1991,181.8290353
Argentina,1992,165.6902288
Argentina,1994,260.1371711
Argentina,1995,258.3489256
Argentina,1996,276.0418126
Armenia,1924,192.2646098
Armenia,1925,251.1995938
Armenia,1926,324.2565491
Armenia,1927,352.4960912
Armenia,1928,290.1759074
Armenia,1929,327.9692052
Armenia,1930,437.6621807
Armenia,1931,471.9739793
Armenia,1932,459.9865992
Armenia,1933,395.4816803
Armenia,1934,503.9076242
Armenia,1935,413.4226638
Armenia,1936,450.8251556
