Entity,Year,Tree density (trees per km2)
Afghanistan,2014,562.8843203
Albania,2014,37403.53706
Algeria,2014,360.5156159
American Samoa,2014,12165.83751
Andorra,2014,51104.03436
Angola,2014,33498.98433
Anguilla,2014,1536.132078
Antigua and Barbuda,2014,17245.91138
Argentina,2014,18029.40271
Armenia,2014,13514.22321
Aruba,2014,344.017345
Australia,2014,9941.12907
Austria,2014,36722.49556
Azerbaijan,2014,8967.339893
Bahamas,2014,12828.71429
Bahrain,2014,4.544569434
Bangladesh,2014,6862.857493
Barbados,2014,10380.41805
Belarus,2014,27649.56489
Belgium,2014,17253.37953
Belize,2014,54584.57102
Benin,2014,17740.20868
Bermuda,2014,707.5797305
Bhutan,2014,47572.22428
Bolivia,2014,54409.96827
Bonaire Sint Eustatius and Saba,2014,3508.619856
Bosnia and Herzegovina,2014,38589.0904
Botswana,2014,13928.51512
Brazil,2014,35288.2947
British Indian Ocean Territory,2014,659.630554
British Virgin Islands,2014,7980.308983
Brunei,2014,62333.37385
Bulgaria,2014,24986.59329
Burkina Faso,2014,3710.56781
Burundi,2014,14011.40286
Cambodia,2014,30421.32842
Cameroon,2014,41420.83362
Canada,2014,32054.55088
Cape Verde,2014,5196.954075
Cayman Islands,2014,21117.05022
Central African Republic,2014,38861.0685
Chad,2014,3646.856151
Chile,2014,25274.19629
China,2014,14852.60182
Christmas Island,2014,4019.4735
Colombia,2014,44950.66058
Comoros,2014,42688.48509
Congo,2014,42088.15532
Cook Islands,2014,9328.853951
Costa Rica,2014,37041.80704
Cote d'Ivoire,2014,22449.72772
Croatia,2014,41129.4886
Cuba,2014,20627.23094
Curacao,2014,3412.980985
Cyprus,2014,11004.59937
Czechia,2014,25821.63136
Democratic Republic of Congo,2014,43230.5
Denmark,2014,7059.338747
Djibouti,2014,62.31030591
Dominica,2014,48628.03908
Dominican Republic,2014,22270.39882
Ecuador,2014,39912.15821
Egypt,2014,69.10092352
El Salvador,2014,19865.64062
Equatorial Guinea,2014,61790.54883
Eritrea,2014,2516.173959
Estonia,2014,41111.54174
Eswatini,2014,52462.71645
Ethiopia,2014,12151.28614
Faeroe Islands,2014,73601.01519
Falkland Islands,2014,15120.53837
Fiji,2014,8235.148756
Finland,2014,72643.508
France,2014,21955.84793
French Guiana,2014,60326.03085
French Polynesia,2014,7304.58631
Gabon,2014,52243.89667
Gambia,2014,4802.83569
Georgia,2014,35930.01368
Germany,2014,24182.25563
Ghana,2014,18988.70122
Gibraltar,2014,2029.944212
Greece,2014,24323.35746
Greenland,2014,130.5483995
Grenada,2014,29029.89172
Guadeloupe,2014,34148.39211
Guam,2014,2812.033424
Guatemala,2014,42478.487
Guernsey,2014,2189.754987
Guinea,2014,36108.56427
Guinea-Bissau,2014,30011.60853
Guyana,2014,55923.05359
Haiti,2014,5466.674789
Honduras,2014,41837.91633
Hong Kong,2014,26214.97691
Hungary,2014,10573.09873
Iceland,2014,6511.239502
India,2014,11108.79205
Indonesia,2014,42404.80098
Iran,2014,1395.190556
Iraq,2014,1171.271426
Ireland,2014,10087.76185
Isle of Man,2014,17602.67668
Israel,2014,572.5708604
Italy,2014,29249.4324
Jamaica,2014,39192.90548
Japan,2014,49893.51488
Jersey,2014,2623.725107
Jordan,2014,28.06372456
Kazakhstan,2014,2244.513191
Kenya,2014,5205.467236
Kiribati,2014,980.3998547
Kosovo,2014,22084.13392
Kuwait,2014,3.500288148
Kyrgyzstan,2014,5913.62498
Laos,2014,43179.38518
Latvia,2014,38701.10484
Lebanon,2014,2729.513937
Lesotho,2014,22170.72189
Liberia,2014,34727.87257
Libya,2014,16.76341806
Liechtenstein,2014,37534.10101
Lithuania,2014,22731.88774
Luxembourg,2014,21664.76866
Macao,2014,635.115484
Madagascar,2014,37617.81182
Malawi,2014,26763.15068
Malaysia,2014,45591.03665
Maldives,2014,939.4988067
Mali,2014,2082.394811
Malta,2014,70.32776974
Marshall Islands,2014,718.6128851
Martinique,2014,35015.75564
Mauritania,2014,109.2233428
Mauritius,2014,16001.29451
Mayotte,2014,25965.48626
Mexico,2014,28958.83844
Micronesia (country),2014,15916.44346
Moldova,2014,4018.339844
Monaco,2014,4409.475896
Mongolia,2014,4732.574578
Montenegro,2014,44176.60151
Montserrat,2014,27192.73103
Morocco,2014,1251.388531
Mozambique,2014,32490.1553
Myanmar,2014,36420.38958
Namibia,2014,2751.003754
Nauru,2014,1217.315462
Nepal,2014,22640.94351
Netherlands,2014,9089.54402
New Caledonia,2014,45772.18851
New Zealand,2014,42493.09378
Nicaragua,2014,30541.26557
Niger,2014,173.7594031
Nigeria,2014,11972.0579
North Korea,2014,40802.46218
North Macedonia,2014,25952.80988
Northern Cyprus,2014,3496.687862
Northern Mariana Islands,2014,7271.179111
Norway,2014,43999.49056
Oman,2014,32.39065647
Pakistan,2014,1131.227136
Palau,2014,26911.16242
Palestine,2014,167.6193861
Panama,2014,38213.92976
Papua New Guinea,2014,49050.82347
Paraguay,2014,47337.76824
Peru,2014,35514.78554
Philippines,2014,21205.6223
Poland,2014,20657.24922
Portugal,2014,33989.12284
Puerto Rico,2014,23932.28778
Qatar,2014,1.121359396
Reunion,2014,46486.00699
Romania,2014,20295.25578
Russia,2014,38033.12068
Rwanda,2014,13689.60188
Saint Barthlemy,2014,4260.967652
Saint Helena,2014,21278.96969
Saint Kitts and Nevis,2014,27338.38476
Saint Lucia,2014,34412.83755
Saint Pierre and Miquelon,2014,26764.34628
Saint Vincent and the Grenadines,2014,31527.37618
Samoa,2014,14165.66217
San Marino,2014,7771.58407
Sao Tome and Principe,2014,58785.90273
Saudi Arabia,2014,1.414488247
Senegal,2014,6598.788971
Serbia,2014,21177.41327
Seychelles,2014,4083.185813
Sierra Leone,2014,31103.63195
Singapore,2014,3618.12772
Sint Maarten (Dutch part),2014,3965.376009
Slovakia,2014,30445.76666
Slovenia,2014,71131.48624
Solomon Islands,2014,44009.68816
Somalia,2014,1381.514972
South Africa,2014,14530.79409
South Korea,2014,38096.51697
South Sudan,2014,43102.38181
Spain,2014,22485.21846
Sri Lanka,2014,36776.64322
Sudan,2014,1621.803535
Suriname,2014,56379.07719
Sweden,2014,69161.14537
Switzerland,2014,26575.0923
Syria,2014,534.232646
Taiwan,2014,62975.40764
Tajikistan,2014,1040.686297
Tanzania,2014,21959.14136
Thailand,2014,16141.13397
Timor,2014,34117.11333
Togo,2014,17835.76
Tokelau,2014,1167.236404
Tonga,2014,7262.276005
Trinidad and Tobago,2014,40015.5975
Tunisia,2014,974.6999118
Turkey,2014,11125.98443
Turkmenistan,2014,14.72434443
Turks and Caicos Islands,2014,3909.563112
Tuvalu,2014,909.3359494
Uganda,2014,10139.84761
Ukraine,2014,11693.12495
United Arab Emirates,2014,0.248461446
United Kingdom,2014,12263.51514
United States,2014,24087.25054
United States Virgin Islands,2014,12796.13991
Uruguay,2014,3053.482325
Uzbekistan,2014,255.5274208
Vanuatu,2014,46053.42839
Venezuela,2014,39500.2561
Vietnam,2014,28325.07761
Wallis and Futuna,2014,10507.87957
Western Sahara,2014,0.069174774
World,2014,22540.35861
World (mean),2014,22540.35861
World (median),2014,17249.64546
Yemen,2014,34.19417681
Zambia,2014,36533.3207
Zimbabwe,2014,14392.59874
