Entity,Year,Per capita total RPKs
Afghanistan,2018,49.06514712
Algeria,2018,215.8164475
Angola,2018,137.7157822
Argentina,2018,1072.956578
Australia,2018,8856.072001
Austria,2018,2771.442705
Azerbaijan,2018,407.9933685
Bahrain,2018,5094.748596
Bangladesh,2018,90.64975882
Belarus,2018,219.3899822
Belgium,2018,2858.730174
Bolivia,2018,386.1682514
Brazil,2018,791.9762917
Brunei,2018,4933.936883
Bulgaria,2018,1196.383363
Cambodia,2018,432.6196732
Canada,2018,5344.007245
Chile,2018,2042.872199
China,2018,799.5871134
Colombia,2018,686.6054578
Costa Rica,2018,1545.124626
Croatia,2018,1486.956002
Cuba,2018,1327.981248
Czechia,2018,1256.445172
Democratic Republic of Congo,2018,22.87610651
Denmark,2018,5005.732591
Ecuador,2018,467.4725183
Egypt,2018,291.1594322
El Salvador,2018,797.6801829
Ethiopia,2018,189.3042436
Fiji,2018,5294.844113
Finland,2018,4816.754099
France,2018,3391.773612
Georgia,2018,1058.223955
Germany,2018,2973.712996
Greece,2018,4166.839664
Hungary,2018,1148.820587
Iceland,2018,44976.49988
India,2018,172.6607141
Indonesia,2018,532.0810914
Iran,2018,271.288669
Iraq,2018,146.859759
Ireland,2018,6847.343217
Israel,2018,4062.55988
Italy,2018,2242.5751
Japan,2018,2101.500884
Jordan,2018,822.7530969
Kazakhstan,2018,634.9497349
Kenya,2018,262.9346952
Kuwait,2018,3392.776295
Kyrgyzstan,2018,460.9879612
Latvia,2018,2232.246045
Lebanon,2018,1124.853494
Libya,2018,113.4357112
Luxembourg,2018,3410.282773
Madagascar,2018,66.17750981
Malaysia,2018,2795.327182
Malta,2018,12876.6324
Mauritius,2018,7256.857632
Mexico,2018,954.9688164
Moldova,2018,441.1196386
Mongolia,2018,353.7582401
Morocco,2018,677.1784737
Myanmar,2018,100.8793613
Namibia,2018,798.4432533
Nepal,2018,208.1173754
Netherlands,2018,6545.978418
New Zealand,2018,9293.442469
Nigeria,2018,54.60298508
Norway,2018,5383.989864
Oman,2018,3423.378665
Pakistan,2018,108.8675699
Panama,2018,5322.060447
Papua New Guinea,2018,238.7640691
Peru,2018,976.5226585
Philippines,2018,594.4953675
Poland,2018,794.4283454
Portugal,2018,5190.790073
Qatar,2018,29016.61933
Romania,2018,782.4699517
Russia,2018,1273.968789
Rwanda,2018,107.1476666
Saudi Arabia,2018,2484.83287
Serbia,2018,397.1237043
Singapore,2018,20718.14738
South Africa,2018,868.0760412
South Korea,2018,2616.986632
Spain,2018,4975.393085
Sri Lanka,2018,742.2374955
Suriname,2018,2057.898845
Sweden,2018,3351.779311
Switzerland,2018,6022.894484
Tajikistan,2018,284.0107789
Thailand,2018,2213.12688
Trinidad and Tobago,2018,1644.538522
Tunisia,2018,653.1875248
Turkey,2018,1708.315086
Turkmenistan,2018,327.3450375
Ukraine,2018,360.3118858
United Arab Emirates,2018,24214.7238
United Kingdom,2018,5218.103972
United States,2018,6040.212251
Uzbekistan,2018,191.9498887
Venezuela,2018,135.4184073
Vietnam,2018,720.7155854
World,2018,1114.211794
