Entity,Year,Excess mortality from fossil fuels
Afghanistan,2015,2494
Africa,2015,67132
Albania,2015,1308
Algeria,2015,2008
Angola,2015,622
Antigua and Barbuda,2015,4
Argentina,2015,3815
Armenia,2015,1240
Australia,2015,1451
Austria,2015,7835
Azerbaijan,2015,1381
Bahamas,2015,44
Bahrain,2015,125
Bangladesh,2015,72971
Barbados,2015,15
Belarus,2015,10938
Belgium,2015,7305
Belize,2015,25
Benin,2015,300
Bhutan,2015,311
Bolivia,2015,125
Bosnia and Herzegovina,2015,3023
Botswana,2015,204
Brazil,2015,15682
Brunei,2015,19
Bulgaria,2015,8247
Burkina Faso,2015,567
Burundi,2015,292
Cambodia,2015,2169
Cameroon,2015,650
Canada,2015,17574
Cape Verde,2015,22
Central African Republic,2015,198
Chad,2015,584
Chile,2015,1282
China,2015,1554096
Colombia,2015,3726
Comoros,2015,13
Congo,2015,46
Costa Rica,2015,371
Cote d'Ivoire,2015,84
Croatia,2015,4512
Cuba,2015,1728
Cyprus,2015,356
Czechia,2015,11534
Democratic Republic of Congo,2015,1274
Denmark,2015,2499
Djibouti,2015,50
Dominican Republic,2015,620
East Asia,2015,1698062
Ecuador,2015,2079
Egypt,2015,18539
El Salvador,2015,747
Equatorial Guinea,2015,5
Eritrea,2015,329
Estonia,2015,755
Eswatini,2015,233
Ethiopia,2015,3496
Europe,2015,433560
Fiji,2015,19
Finland,2015,2369
France,2015,30802
Gabon,2015,12
Gambia,2015,52
Georgia,2015,2112
Germany,2015,76052
Ghana,2015,177
Greece,2015,6297
Grenada,2015,3
Guatemala,2015,1436
Guinea,2015,249
Guinea-Bissau,2015,36
Guyana,2015,17
Haiti,2015,915
Honduras,2015,427
Hungary,2015,12660
Iceland,2015,26
India,2015,691711
Indonesia,2015,34924
Iran,2015,9065
Iraq,2015,2956
Ireland,2015,970
Israel,2015,1925
Italy,2015,40630
Jamaica,2015,274
Japan,2015,83696
Jordan,2015,1060
Kazakhstan,2015,5341
Kenya,2015,1164
Kiribati,2015,0
Kuwait,2015,298
Kyrgyzstan,2015,837
Laos,2015,2245
Latvia,2015,1682
Lebanon,2015,2001
Lesotho,2015,584
Liberia,2015,15
Libya,2015,598
Lithuania,2015,3023
Luxembourg,2015,293
Madagascar,2015,196
Malawi,2015,201
Malaysia,2015,4220
Maldives,2015,26
Mali,2015,495
Malta,2015,140
Mauritania,2015,92
Mauritius,2015,37
Mexico,2015,32082
Micronesia,2015,2
Moldova,2015,3450
Mongolia,2015,462
Morocco,2015,2959
Mozambique,2015,410
Myanmar,2015,17414
Namibia,2015,50
Nepal,2015,11299
Netherlands,2015,9412
New Zealand,2015,154
Nicaragua,2015,435
Niger,2015,562
Nigeria,2015,6410
North America,2015,243609
North Korea,2015,28629
North Macedonia,2015,1452
Norway,2015,1628
Oceania,2015,1645
Oman,2015,165
Pakistan,2015,29327
Panama,2015,271
Papua New Guinea,2015,322
Paraguay,2015,391
Peru,2015,1543
Philippines,2015,11665
Poland,2015,38858
Portugal,2015,3470
Qatar,2015,80
Romania,2015,22879
Russia,2015,113708
Rwanda,2015,254
Saint Lucia,2015,6
Saint Vincent and the Grenadines,2015,4
Samoa,2015,1
Sao Tome and Principe,2015,3
Saudi Arabia,2015,1944
Senegal,2015,438
Serbia and Montenegro,2015,9561
Seychelles,2015,7
Sierra Leone,2015,144
Singapore,2015,1095
Slovakia,2015,5378
Slovenia,2015,1736
Solomon Islands,2015,14
Somalia,2015,646
South Africa,2015,14802
South America,2015,37847
South Korea,2015,31180
South and Southeast Asia,2015,942806
Spain,2015,14504
Sri Lanka,2015,2911
Sudan and South Sudan,2015,2937
Suriname,2015,10
Sweden,2015,4092
Switzerland,2015,5645
Syria,2015,3240
Tajikistan,2015,780
Tanzania,2015,924
Thailand,2015,25277
Timor,2015,11
Togo,2015,171
Tonga,2015,1
Trinidad and Tobago,2015,51
Tunisia,2015,1509
Turkey,2015,26231
Turkmenistan,2015,457
Uganda,2015,724
Ukraine,2015,50691
United Arab Emirates,2015,423
United Kingdom,2015,27905
United States,2015,193617
Uruguay,2015,331
Uzbekistan,2015,3478
Vanuatu,2015,3
Venezuela,2015,1804
Vietnam,2015,34890
West Asia,2015,183533
World,2015,3608196
Yemen,2015,1838
Zambia,2015,348
Zimbabwe,2015,407
