Entity,Year,labour_force_dependency_ratio
Austria,2015,100
Austria,2020,102.4415196
Austria,2025,108.7329791
Austria,2030,116.1209404
Austria,2035,119.0204527
Austria,2040,121.3297053
Austria,2045,124.340457
Austria,2050,127.4851694
Austria,2055,132.8567117
Austria,2060,136.9968142
Belgium,2015,100
Belgium,2020,102.6863996
Belgium,2025,106.6950408
Belgium,2030,110.8185002
Belgium,2035,113.7991308
Belgium,2040,116.4313441
Belgium,2045,117.8770506
Belgium,2050,120.8757633
Belgium,2055,122.5757319
Belgium,2060,125.2982686
Bulgaria,2015,100
Bulgaria,2020,101.3658611
Bulgaria,2025,105.6449001
Bulgaria,2030,109.5151965
Bulgaria,2035,110.0437901
Bulgaria,2040,114.6767994
Bulgaria,2045,115.7982671
Bulgaria,2050,120.8150886
Bulgaria,2055,127.1726496
Bulgaria,2060,127.2914138
Croatia,2015,100
Croatia,2020,98.9516136
Croatia,2025,99.7838613
Croatia,2030,102.1310264
Croatia,2035,105.2589942
Croatia,2040,108.2908439
Croatia,2045,112.5161296
Croatia,2050,120.5518488
Croatia,2055,123.9000686
Croatia,2060,128.0389743
Cyprus,2015,100
Cyprus,2020,103.7372314
Cyprus,2025,109.0092353
Cyprus,2030,109.2169328
Cyprus,2035,115.0774068
Cyprus,2040,119.2695154
Cyprus,2045,123.0975044
Cyprus,2050,137.6875677
Cyprus,2055,148.36818
Cyprus,2060,148.1595583
Czechia,2015,100
Czechia,2020,99.9952652
Czechia,2025,103.1879735
Czechia,2030,104.4434137
Czechia,2035,108.0448967
Czechia,2040,114.3090525
Czechia,2045,120.3618538
Czechia,2050,127.9398678
Czechia,2055,136.2174882
Czechia,2060,138.2532358
Denmark,2015,100
Denmark,2020,102.1705107
Denmark,2025,107.8227204
Denmark,2030,113.7576025
Denmark,2035,120.6688185
Denmark,2040,124.9757957
Denmark,2045,125.807189
Denmark,2050,125.0762986
Denmark,2055,125.9191741
Denmark,2060,130.5691501
EU-27 + UK,2015,100
EU-27 + UK,2020,99.9016613
EU-27 + UK,2025,102.6070285
EU-27 + UK,2030,106.3100981
EU-27 + UK,2035,110.2713053
EU-27 + UK,2040,113.7962622
EU-27 + UK,2045,116.8991043
EU-27 + UK,2050,119.62433
EU-27 + UK,2055,121.947413
EU-27 + UK,2060,123.3422988
Estonia,2015,100
Estonia,2020,100.5658633
Estonia,2025,105.3701971
Estonia,2030,104.5077565
Estonia,2035,106.5137774
Estonia,2040,109.6655225
Estonia,2045,111.7103704
Estonia,2050,116.1781712
Estonia,2055,120.4233625
Estonia,2060,124.5063272
Finland,2015,100
Finland,2020,104.7907469
Finland,2025,111.0498113
Finland,2030,114.1168946
Finland,2035,116.1909653
Finland,2040,117.9541766
Finland,2045,117.2741858
Finland,2050,117.6818968
Finland,2055,120.5744598
Finland,2060,123.2224668
France,2015,100
France,2020,102.5716139
France,2025,104.7307847
France,2030,108.3095785
France,2035,111.389823
France,2040,113.1573348
France,2045,114.4326247
France,2050,114.9076103
France,2055,114.8553862
France,2060,114.9910061
Germany,2015,100
Germany,2020,101.2870373
Germany,2025,107.5174839
Germany,2030,116.120642
Germany,2035,123.5338196
Germany,2040,127.2675299
Germany,2045,129.4213576
Germany,2050,131.6013482
Germany,2055,134.3534284
Germany,2060,137.2792683
Greece,2015,100
Greece,2020,106.2450566
Greece,2025,111.9854459
Greece,2030,120.0233356
Greece,2035,130.0887769
Greece,2040,142.1378208
Greece,2045,153.5934941
Greece,2050,161.019312
Greece,2055,164.6961939
Greece,2060,164.9562641
Hungary,2015,100
Hungary,2020,92.6056215
Hungary,2025,90.8762588
Hungary,2030,89.9786473
Hungary,2035,91.9659996
Hungary,2040,97.6039474
Hungary,2045,101.2711455
Hungary,2050,104.4523567
Hungary,2055,109.4559493
Hungary,2060,112.3509057
Ireland,2015,100
Ireland,2020,100.7928777
Ireland,2025,101.8026112
Ireland,2030,101.6534019
Ireland,2035,103.480669
Ireland,2040,108.3206572
Ireland,2045,115.2101808
Ireland,2050,122.396795
Ireland,2055,127.6110064
Ireland,2060,127.313342
Italy,2015,100
Italy,2020,94.4226148
Italy,2025,92.2287018
Italy,2030,93.4496245
Italy,2035,96.1415387
Italy,2040,98.9088243
Italy,2045,101.1583022
Italy,2050,101.8828976
Italy,2055,101.9733298
Italy,2060,100.7320579
Latvia,2015,100
Latvia,2020,101.6380054
Latvia,2025,102.562762
Latvia,2030,104.2242855
Latvia,2035,104.4273846
Latvia,2040,106.559619
Latvia,2045,109.9270918
Latvia,2050,118.8853951
Latvia,2055,125.3527654
Latvia,2060,132.7768339
Lithuania,2015,100
Lithuania,2020,97.7658442
Lithuania,2025,101.840124
Lithuania,2030,112.0802308
Lithuania,2035,118.2645488
Lithuania,2040,124.2291745
Lithuania,2045,124.0663522
Lithuania,2050,127.9715233
Lithuania,2055,131.1009406
Lithuania,2060,133.8150577
Luxembourg,2015,100
Luxembourg,2020,93.1609892
Luxembourg,2025,95.3613063
Luxembourg,2030,95.6044986
