Entity,Year,Inbound-outbound flight ratio
Algeria,2018,0.473618538
Angola,2018,7
Argentina,2018,0.623719677
Australia,2018,0.810839253
Austria,2018,2.593284524
Azerbaijan,2018,0.671855065
Bahrain,2018,4.199790795
Bangladesh,2018,0.101369863
Belarus,2018,13.75789474
Belgium,2018,0.696213162
Bolivia,2018,1.077358491
Brazil,2018,0.622977042
Bulgaria,2018,1.384236453
Cambodia,2018,3.108270677
Canada,2018,0.811815772
Chile,2018,1.49620915
China,2018,0.420117553
Colombia,2018,0.893772894
Costa Rica,2018,2.796107507
Croatia,2018,8.087949466
Cuba,2018,4.446308725
Czechia,2018,1.435859269
Democratic Republic of Congo,2018,0.827830189
Denmark,2018,1.705551839
Ecuador,2018,1.808131241
Egypt,2018,1.557977346
El Salvador,2018,1.331190476
Ethiopia,2018,0.819548872
European Union,2018,1.387502454
Fiji,2018,5
Finland,2018,0.341164021
France,2018,3.318793193
Georgia,2018,1.286371011
Germany,2018,0.358211568
Greece,2018,3.783821128
Hungary,2018,2.029367557
Iceland,2018,3.508682635
India,2018,0.662572254
Indonesia,2018,1.669835234
Iran,2018,1.007179346
Ireland,2018,1.264144394
Israel,2018,0.486368465
Italy,2018,1.846253497
Japan,2018,1.64566846
Jordan,2018,2.764823451
Kazakhstan,2018,0.619061584
Kuwait,2018,1.69195923
Kyrgyzstan,2018,0.061851148
Latvia,2018,1.42251462
Libya,2018,0.076923077
Luxembourg,2018,0.511814982
Madagascar,2018,1.923076923
Malaysia,2018,0.510484054
Malta,2018,3.896551724
Mauritius,2018,4.726351351
Mexico,2018,2.092009317
Moldova,2018,0.606060606
Morocco,2018,6.390535621
Nepal,2018,0.785296575
Netherlands,2018,0.849197377
New Zealand,2018,1.213298223
Norway,2018,0.70135635
Oman,2018,0.686865672
Panama,2018,2.621145374
Papua New Guinea,2018,0.586956522
Peru,2018,1.435672515
Philippines,2018,1.046291426
Poland,2018,1.53296875
Portugal,2018,6.510860821
Romania,2018,0.557060697
Russia,2018,0.58504909
Saudi Arabia,2018,0.70127138
Singapore,2018,1.483769845
South Korea,2018,0.534813214
Spain,2018,4.330037665
Sri Lanka,2018,1.581300813
Sweden,2018,0.332234363
Switzerland,2018,0.677919529
Tajikistan,2018,33.38709677
Thailand,2018,3.830824804
Trinidad and Tobago,2018,1.421245421
Tunisia,2018,3.299801193
Turkey,2018,5.459620661
Turkmenistan,2018,0.215789474
Ukraine,2018,0.507137464
United Arab Emirates,2018,1.126005078
United Kingdom,2018,0.515954877
United States,2018,0.861521974
Venezuela,2018,0.395736793
World,2018,0.922226998
