Entity,Year,RCV1 (% of one-year-olds immunized)
African Region (WHO),1980,0
African Region (WHO),1981,0
African Region (WHO),1982,0
African Region (WHO),1983,0
African Region (WHO),1984,0
African Region (WHO),1985,0
African Region (WHO),1986,0
African Region (WHO),1987,0
African Region (WHO),1988,0
African Region (WHO),1989,0
African Region (WHO),1990,0
African Region (WHO),1991,0
African Region (WHO),1992,0
African Region (WHO),1993,0
African Region (WHO),1994,0
African Region (WHO),1995,0
African Region (WHO),1996,0
African Region (WHO),1997,0
African Region (WHO),1998,0
African Region (WHO),1999,0
African Region (WHO),2000,0
African Region (WHO),2001,0
African Region (WHO),2002,0
African Region (WHO),2003,0
African Region (WHO),2004,0
African Region (WHO),2005,0
African Region (WHO),2006,0
African Region (WHO),2007,0
African Region (WHO),2008,0
African Region (WHO),2009,0
African Region (WHO),2010,0
African Region (WHO),2011,0
African Region (WHO),2012,0
African Region (WHO),2013,4
African Region (WHO),2014,9
African Region (WHO),2015,11
African Region (WHO),2016,13
African Region (WHO),2017,25
African Region (WHO),2018,31
African Region (WHO),2019,32
African Region (WHO),2020,36
African Region (WHO),2021,35
Albania,2001,95
Albania,2002,96
Albania,2003,93
Albania,2004,96
Albania,2005,97
Albania,2006,95
Albania,2007,97
Albania,2008,98
Albania,2009,97
Albania,2010,99
Albania,2011,99
Albania,2012,98
Albania,2013,99
Albania,2014,98
Albania,2015,97
Albania,2016,96
Albania,2017,96
Albania,2018,94
Albania,2019,95
Albania,2020,91
Albania,2021,87
Algeria,2017,88
Algeria,2018,80
Algeria,2019,80
Algeria,2020,80
Algeria,2021,80
Andorra,1997,90
Andorra,1998,90
Andorra,1999,97
Andorra,2000,97
Andorra,2001,97
Andorra,2002,98
Andorra,2003,96
Andorra,2004,98
Andorra,2005,94
Andorra,2006,91
Andorra,2007,94
Andorra,2008,98
Andorra,2009,98
Andorra,2010,99
Andorra,2011,99
Andorra,2012,98
Andorra,2013,95
Andorra,2014,96
Andorra,2015,96
Andorra,2016,97
Andorra,2017,99
Andorra,2018,99
Andorra,2019,99
Andorra,2020,98
Andorra,2021,99
Angola,2018,50
Angola,2019,51
Angola,2020,44
Angola,2021,36
Antigua and Barbuda,1988,95
Antigua and Barbuda,1989,95
Antigua and Barbuda,1990,89
Antigua and Barbuda,1991,87
Antigua and Barbuda,1992,99
Antigua and Barbuda,1993,99
Antigua and Barbuda,1994,91
Antigua and Barbuda,1995,93
Antigua and Barbuda,1996,99
Antigua and Barbuda,1997,93
Antigua and Barbuda,1998,99
Antigua and Barbuda,1999,99
Antigua and Barbuda,2000,95
Antigua and Barbuda,2001,97
Antigua and Barbuda,2002,99
Antigua and Barbuda,2003,99
Antigua and Barbuda,2004,97
Antigua and Barbuda,2005,99
Antigua and Barbuda,2006,99
Antigua and Barbuda,2007,99
Antigua and Barbuda,2008,99
Antigua and Barbuda,2009,99
Antigua and Barbuda,2010,98
Antigua and Barbuda,2011,99
Antigua and Barbuda,2012,98
Antigua and Barbuda,2013,96
Antigua and Barbuda,2014,93
Antigua and Barbuda,2015,91
Antigua and Barbuda,2016,88
Antigua and Barbuda,2017,99
Antigua and Barbuda,2018,96
Antigua and Barbuda,2019,93
Antigua and Barbuda,2020,89
Antigua and Barbuda,2021,85
Argentina,1997,93
