Entity,Year,SO2 emissions by country (1850-2000) (Clio Infra)
Albania,1850,215.795698
Albania,1860,255.094052
Albania,1870,288.675315
Albania,1880,318.676349
Albania,1890,327.273887
Albania,1900,376.065821
Albania,1910,393.394401
Albania,1920,388.645063
Albania,1930,491.455656
Albania,1940,3690.298859
Albania,1950,3330.299152
Albania,1960,20844.06404
Albania,1970,46651.61281
Albania,1980,82803.36149
Albania,1990,93268.65003
Albania,2000,13465.28656
Algeria,1850,408.838392
Algeria,1860,455.484523
Algeria,1870,502.130654
Algeria,1880,548.778565
Algeria,1890,595.433599
Algeria,1900,642.322341
Algeria,1910,1282.695191
Algeria,1920,1762.065775
Algeria,1930,2957.315865
Algeria,1940,1597.261259
Algeria,1950,14394.69515
Algeria,1960,34148.14299
Algeria,1970,114227.7899
Algeria,1980,145918.817
Algeria,1990,138188.0728
Algeria,2000,183656.7261
Angola,1850,276.404238
Angola,1860,278.726963
Angola,1870,299.207652
Angola,1880,346.593463
Angola,1890,402.057977
Angola,1900,453.147642
Angola,1910,485.706426
Angola,1920,548.172475
Angola,1930,617.374683
Angola,1940,693.979761
Angola,1950,1045.567276
Angola,1960,5224.349109
Angola,1970,10429.40972
Angola,1980,13434.45702
Angola,1990,29391.06021
Angola,2000,31139.77656
Argentina,1850,193.003793
Argentina,1860,202.159916
Argentina,1870,223.330741
Argentina,1880,272.227851
Argentina,1890,8874.967201
Argentina,1900,13425.16127
Argentina,1910,56305.183
Argentina,1920,35414.45095
Argentina,1930,73822.3077
Argentina,1940,81657.17169
Argentina,1950,88453.19739
Argentina,1960,123119.4514
Argentina,1970,166197.7103
Argentina,1980,145586.1967
Argentina,1990,112806.9715
Argentina,2000,136779.8663
Armenia,1850,289.471038
Armenia,1860,292.834282
Armenia,1870,337.671173
Armenia,1880,446.109521
Armenia,1890,778.849711
Armenia,1900,1568.834674
Armenia,1910,1459.69894
Armenia,1920,794.102617
Armenia,1930,1949.551026
Armenia,1940,4913.060506
Armenia,1950,5115.328075
Armenia,1960,17039.68869
Armenia,1970,43867.20496
Armenia,1980,82572.00873
Armenia,1990,81970.6437
Armenia,2000,13365.66402
Australia,1850,9241.389708
Australia,1860,24374.75615
Australia,1870,31919.28887
Australia,1880,46178.12882
Australia,1890,46726.82842
Australia,1900,124112.2954
Australia,1910,214708.9395
Australia,1920,171598.4094
Australia,1930,281226.5516
Australia,1940,408649.5433
Australia,1950,417996.3347
Australia,1960,843618.6321
Australia,1970,1451240.31
Australia,1980,1616641.845
Australia,1990,1593970
Australia,2000,2374560
Austria,1850,31474.74344
Austria,1860,67879.55222
Austria,1870,93342.77438
Austria,1880,245756.4167
Austria,1890,237618.4024
Austria,1900,390192.2775
Austria,1910,631470.4336
Austria,1920,125629.5556
Austria,1930,152750.7574
Austria,1940,81357.08785
Austria,1950,205893.6256
Austria,1960,334505.7841
Austria,1970,475252.8921
Austria,1980,384500
Austria,1990,74240
Austria,2000,31500
Azerbaijan,1850,451.835135
Azerbaijan,1860,455.63059
Azerbaijan,1870,518.782583
Azerbaijan,1880,736.394786
Azerbaijan,1890,1593.063671
Azerbaijan,1900,3535.425803
Azerbaijan,1910,3221.814774
Azerbaijan,1920,1911.886232
Azerbaijan,1930,6020.988665
Azerbaijan,1940,12736.63344
Azerbaijan,1950,12869.3648
Azerbaijan,1960,49709.85653
Azerbaijan,1970,144348.1596
Azerbaijan,1980,55648.21849
Azerbaijan,1990,254169.4449
Azerbaijan,2000,201106.2611
Bahrain,1850,11.494564
Bahrain,1860,12.084029
Bahrain,1870,12.20609
Bahrain,1880,12.329384
Bahrain,1890,12.453923
Bahrain,1900,12.57972
Bahrain,1910,10.58899
Bahrain,1920,9.133004
Bahrain,1930,7.38489
Bahrain,1940,211.222085
Bahrain,1950,1627.816013
Bahrain,1960,1111.20704
Bahrain,1970,1336.619288
Bahrain,1980,6231.324755
Bahrain,1990,12563.12213
Bahrain,2000,67105.17313
Bangladesh,1850,3633.48309
Bangladesh,1860,3800.866283
Bangladesh,1870,4148.910113
Bangladesh,1880,4141.191899
Bangladesh,1890,4402.681707
Bangladesh,1900,4553.081578
Bangladesh,1910,4411.540428
Bangladesh,1920,4205.226146
Bangladesh,1930,4008.783393
Bangladesh,1940,3726.421195
Bangladesh,1950,3365.56202
Bangladesh,1960,3444.144586
Bangladesh,1970,5090.696634
Bangladesh,1980,75961.98205
Bangladesh,1990,65315.42921
Bangladesh,2000,97782.19189
Belarus,1850,1421.830891
Belarus,1860,1523.705719
Belarus,1870,1894.857126
Belarus,1880,2506.554723
Belarus,1890,2933.325654
Belarus,1900,4733.849937
Belarus,1910,5626.762622
Belarus,1920,2859.232043
Belarus,1930,8193.031952
Belarus,1940,29734.15796
Belarus,1950,93456.31802
Belarus,1960,220747.5231
Belarus,1970,433823.3829
Belarus,1980,667432.3069
Belarus,1990,623629.4301
Belarus,2000,136398.3747
Belgium,1850,51214.47703
Belgium,1860,81570.00481
Belgium,1870,136879.696
Belgium,1880,169552.01
Belgium,1890,222606.92
Belgium,1900,283669.38
Belgium,1910,354634.6891
Belgium,1920,300529.9956
Belgium,1930,778457.0763
Belgium,1940,489350.0778
Belgium,1950,597237.3555
Belgium,1960,730118.7195
Belgium,1970,1130059.36
Belgium,1980,828000
Belgium,1990,263710
Belgium,2000,117480
Benin,1850,200.307789
Benin,1860,224.199821
Benin,1870,250.502154
Benin,1880,292.745719
Benin,1890,325.01136
Benin,1900,331.644245
Benin,1910,307.319953
Benin,1920,331.472893
Benin,1930,352.994211
Benin,1940,369.865141
Benin,1950,379.364674
Benin,1960,1085.064772
Benin,1970,1794.350231
Benin,1980,2322.821735
Benin,1990,2123.376827
Benin,2000,8116.268993
Bolivia,1850,142.318172
Bolivia,1860,169.917788
Bolivia,1870,146.095299
Bolivia,1880,122.352716
Bolivia,1890,1085.928833
Bolivia,1900,1948.92291
Bolivia,1910,5573.581426
Bolivia,1920,21215.98968
Bolivia,1930,308.431909
Bolivia,1940,1260.626921
Bolivia,1950,2509.835883
Bolivia,1960,6666.920892
Bolivia,1970,13082.97866
Bolivia,1980,15225.56301
Bolivia,1990,14531.5299
Bolivia,2000,20525.37371
Bosnia and Herzegovina,1850,440.179832
Bosnia and Herzegovina,1860,466.857398
Bosnia and Herzegovina,1870,517.328468
Bosnia and Herzegovina,1880,573.255869
Bosnia and Herzegovina,1890,635.229477
Bosnia and Herzegovina,1900,703.902934
Bosnia and Herzegovina,1910,656.43698
Bosnia and Herzegovina,1920,608.998184
Bosnia and Herzegovina,1930,570.849755
Bosnia and Herzegovina,1940,433.194677
Bosnia and Herzegovina,1950,705.668565
Bosnia and Herzegovina,1960,82183.20036
Bosnia and Herzegovina,1970,146286.9725
Bosnia and Herzegovina,1980,263526.3152
Bosnia and Herzegovina,1990,470002.1137
Bosnia and Herzegovina,2000,189490.6904
Botswana,1850,7.568095
Botswana,1860,8.639568
Botswana,1870,9.902729
Botswana,1880,11.40473
Botswana,1890,13.212377
Botswana,1900,15.425906
Botswana,1910,18.838907
Botswana,1920,23.339352
Botswana,1930,29.543831
Botswana,1940,38.596466
Botswana,1950,52.693681
Botswana,1960,69.15399
Botswana,1970,90.658126
Botswana,1980,241.441583
Botswana,1990,22619.43048
Botswana,2000,78465.46969
Brazil,1850,1721.616784
Brazil,1860,1983.522408
