Entity,Year,Tree density (trees per capita)
Afghanistan,2014,11.61586493
Albania,2014,371.669927
Algeria,2014,20.91704828
American Samoa,2014,49.42118583
Andorra,2014,288.3243547
Angola,2014,1899.539652
Anguilla,2014,9.564283541
Antigua and Barbuda,2014,83.13981387
Argentina,2014,1201.815698
Armenia,2014,134.6132554
Aruba,2014,0.608834634
Australia,2014,3265.734207
Austria,2014,360.3984247
Azerbaijan,2014,81.16777843
Bahamas,2014,450.9437046
Bahrain,2014,0.002257254
Bangladesh,2014,6.073515255
Barbados,2014,15.86694504
Belarus,2014,602.7721935
Belgium,2014,47.1089269
Belize,2014,3552.436075
Benin,2014,194.4082019
Bermuda,2014,0.740999822
Bhutan,2014,2418.139152
Bolivia,2014,5464.539096
Bonaire Sint Eustatius and Saba,2014,54.06757796
Bosnia and Herzegovina,2014,515.3564665
Botswana,2014,3968.702416
Brazil,2014,1493.719411
British Indian Ocean Territory,2014,14.26343333
British Virgin Islands,2014,48.43484886
Brunei,2014,855.5139755
Bulgaria,2014,386.0491043
Burkina Faso,2014,58.59759357
Burundi,2014,36.24645742
Cambodia,2014,360.2341029
Cameroon,2014,851.5341505
Canada,2014,8952.638517
Cape Verde,2014,42.45535574
Cayman Islands,2014,100.5040523
Central African Republic,2014,5151.935289
Chad,2014,352.5798207
Chile,2014,1079.342436
China,2014,102.3527132
Christmas Island,2014,272.5346585
Colombia,2014,1051.004756
Comoros,2014,95.50924329
Congo,2014,3175.625944
Cook Islands,2014,163.6536664
Costa Rica,2014,386.3469127
Cote d'Ivoire,2014,349.3444341
Croatia,2014,554.1568502
Cuba,2014,203.8686078
Curacao,2014,9.642976288
Cyprus,2014,54.71444455
Czechia,2014,193.0798794
Democratic Republic of Congo,2014,1460.728436
Denmark,2014,53.8596491
Djibouti,2014,1.534007597
Dominica,2014,509.9198518
Dominican Republic,2014,102.2640707
Ecuador,2014,645.1427365
Egypt,2014,0.818518734
El Salvador,2014,63.93381197
Equatorial Guinea,2014,2155.74929
Eritrea,2014,46.40090965
Estonia,2014,1419.269772
Eswatini,2014,718.4021507
Ethiopia,2014,143.3220736
Faeroe Islands,2014,2134.235989
Falkland Islands,2014,63834.76671
Fiji,2014,177.0280273
Finland,2014,4461.364502
France,2014,182.1873289
French Guiana,2014,20226.173
French Polynesia,2014,106.409134
Gabon,2014,8130.940951
Gambia,2014,27.00773303
Georgia,2014,557.5378309
Germany,2014,106.6572848
Ghana,2014,172.2529743
Gibraltar,2014,0.488723227
Greece,2014,294.6663323
Greenland,2014,4964.062599
Grenada,2014,98.78596089
Guadeloupe,2014,140.3682873
Guam,2014,9.283020036
Guatemala,2014,294.0308901
Guernsey,2014,2.938330024
Guinea,2014,738.5978832
Guinea-Bissau,2014,586.0470364
Guyana,2014,14691.61606
Haiti,2014,14.24012846
Honduras,2014,572.038581
Hong Kong,2014,4.10754519
Hungary,2014,99.7164615
Iceland,2014,2023.12356
India,2014,27.75861679
Indonesia,2014,319.0739626
Iran,2014,28.91647372
Iraq,2014,15.25643593
Ireland,2014,153.5996309
Isle of Man,2014,117.7385487
Israel,2014,1.549111779
Italy,2014,143.4999497
Jamaica,2014,159.2890684
Japan,2014,146.4363543
Jersey,2014,3.297059987
Jordan,2014,0.379731459
Kazakhstan,2014,354.2423788
Kenya,2014,66.93518805
Kiribati,2014,9.610167209
Kosovo,2014,132.3510388
Kuwait,2014,0.017554704
Kyrgyzstan,2014,201.522619
Laos,2014,1447.516013
Latvia,2014,1254.867163
Lebanon,2014,6.211559716
Lesotho,2014,323.0069621
Liberia,2014,762.5653886
Libya,2014,4.349220239
Liechtenstein,2014,163.4409582
Lithuania,2014,503.3009798
Luxembourg,2014,99.81531954
Macao,2014,0.034379589
Madagascar,2014,948.8107717
Malawi,2014,188.8305497
Malaysia,2014,500.5335553
Maldives,2014,0.806173415
Mali,2014,166.1454559
Malta,2014,0.053648364
Marshall Islands,2014,4.115288411
Martinique,2014,101.8845909
Mauritania,2014,28.68675355
Mauritius,2014,25.86013067
Mayotte,2014,48.11585506
Mexico,2014,458.6636582
Micronesia (country),2014,119.4717477
Moldova,2014,38.29286694
Monaco,2014,0.272849787
Mongolia,2014,2571.466011
Montenegro,2014,947.9284143
Montserrat,2014,561.6741837
Morocco,2014,15.49532052
Mozambique,2014,970.7082056
Myanmar,2014,455.9918512
Namibia,2014,970.0501229
Nauru,2014,2.69203689
Nepal,2014,119.3304131
Netherlands,2014,20.39160486
New Caledonia,2014,3255.469474
New Zealand,2014,2543.140569
Nicaragua,2014,638.6108591
Niger,2014,11.15775092
Nigeria,2014,61.30823349
North Korea,2014,200.3652832
North Macedonia,2014,305.8206954
Northern Cyprus,2014,38.45837914
Northern Mariana Islands,2014,67.60472484
Norway,2014,2773.741728
Oman,2014,2.563721765
Pakistan,2014,5.359584281
Palau,2014,625.9099872
Palestine,2014,0.229822019
Panama,2014,735.7346848
Papua New Guinea,2014,3063.060264
Paraguay,2014,2747.085217
Peru,2014,1501.430577
Philippines,2014,63.06234736
Poland,2014,169.4332977
Portugal,2014,300.7330349
