Entity,Year,Indicator:UHC Service Coverage Index (SDG 3.8.1)
Afghanistan,2000,20.75875
Afghanistan,2005,25.52582
Afghanistan,2010,27.51316
Afghanistan,2015,32.19185
Afghanistan,2017,35.78093
Afghanistan,2019,37.32812
Africa,2000,26.89946
Africa,2005,32.22632
Africa,2010,41.12048
Africa,2015,45.35265
Africa,2017,46.84041
Africa,2019,48.7066
Albania,2000,45.00156
Albania,2005,55.25524
Albania,2010,59.32895
Albania,2015,61.65859
Albania,2017,61.72466
Albania,2019,62.16244
Algeria,2000,60.90524
Algeria,2005,64.7432
Algeria,2010,70.38388
Algeria,2015,74.84055
Algeria,2017,75.00342
Algeria,2019,74.99418
Americas,2000,65.44462
Americas,2005,70.61555
Americas,2010,73.83802
Americas,2015,76.11146
Americas,2017,76.66536
Americas,2019,77.11375
Andorra,2000,65.57768
Andorra,2005,70.72081
Andorra,2010,73.12287
Andorra,2015,75.18026
Andorra,2017,76.05803
Andorra,2019,77.16097
Angola,2000,21.98858
Angola,2005,23.13457
Angola,2010,31.94956
Angola,2015,36.67979
Angola,2017,38.52513
Angola,2019,38.68759
Antigua and Barbuda,2000,43.46744
Antigua and Barbuda,2005,64.74551
Antigua and Barbuda,2010,69.39568
Antigua and Barbuda,2015,71.72548
Antigua and Barbuda,2017,71.68555
Antigua and Barbuda,2019,72.32534
Argentina,2000,68.05096
Argentina,2005,71.77358
Argentina,2010,73.03524
Argentina,2015,73.94286
Argentina,2017,73.73752
Argentina,2019,73.40932
Armenia,2000,45.51058
Armenia,2005,45.67663
Armenia,2010,56.59416
Armenia,2015,64.80625
Armenia,2017,67.6055
Armenia,2019,69.26011
Asia,2000,40.61875
Asia,2005,46.7922
Asia,2010,56.3425
Asia,2015,63.23112
Asia,2017,65.85437
Asia,2019,68.57346
Australia,2000,79.93006
Australia,2005,81.57987
Australia,2010,83.26805
Australia,2015,86.08957
Australia,2017,86.64579
Australia,2019,87.15386
Austria,2000,65.91978
Austria,2005,72.39019
Austria,2010,75.89667
Austria,2015,79.26938
Austria,2017,80.79939
Austria,2019,82.25915
Azerbaijan,2000,44.20659
Azerbaijan,2005,39.39053
Azerbaijan,2010,53.18852
Azerbaijan,2015,60.96108
Azerbaijan,2017,63.26969
Azerbaijan,2019,65.27561
Bahamas,2000,49.91603
Bahamas,2005,63.70282
Bahamas,2010,64.19285
Bahamas,2015,67.08147
Bahamas,2017,68.63021
Bahamas,2019,69.80581
Bahrain,2000,63.84784
Bahrain,2005,66.48587
Bahrain,2010,68.88374
Bahrain,2015,71.62455
Bahrain,2017,71.92318
Bahrain,2019,71.43671
Bangladesh,2000,24.09303
Bangladesh,2005,26.14737
Bangladesh,2010,36.57093
Bangladesh,2015,44.56848
Bangladesh,2017,47.80971
Bangladesh,2019,50.74118
Barbados,2000,40.71511
Barbados,2005,67.7754
Barbados,2010,70.47026
Barbados,2015,73.08539
Barbados,2017,73.6031
Barbados,2019,74.45894
Belarus,2000,49.68502
Belarus,2005,54.66303
Belarus,2010,64.84624
Belarus,2015,68.78521
Belarus,2017,70.79737
Belarus,2019,73.54218
Belgium,2000,76.09647
Belgium,2005,79.16588
Belgium,2010,81.84249
Belgium,2015,84.10607
Belgium,2017,84.52161
Belgium,2019,85.49881
Belize,2000,46.32613
Belize,2005,59.41876
Belize,2010,64.28819
Belize,2015,64.14784
Belize,2017,64.91026
Belize,2019,67.16825
Benin,2000,22.97544
Benin,2005,23.95827
Benin,2010,35.06947
Benin,2015,37.4328
Benin,2017,37.51313
Benin,2019,38.20319
Bhutan,2000,39.54354
Bhutan,2005,38.32421
Bhutan,2010,49.27396
Bhutan,2015,57.21364
Bhutan,2017,59.70328
Bhutan,2019,62.38601
Bolivia,2000,43.01198
Bolivia,2005,48.84038
Bolivia,2010,57.08524
Bolivia,2015,65.11317
Bolivia,2017,64.92526
Bolivia,2019,66.75241
Bosnia and Herzegovina,2000,43.19813
Bosnia and Herzegovina,2005,58.60844
Bosnia and Herzegovina,2010,59.2752
Bosnia and Herzegovina,2015,62.49655
Bosnia and Herzegovina,2017,64.83011
Bosnia and Herzegovina,2019,64.61285
Botswana,2000,32.22149
Botswana,2005,46.0782
Botswana,2010,50.64527
Botswana,2015,53.03857
Botswana,2017,54.4178
Botswana,2019,53.65757
Brazil,2000,68.45669
Brazil,2005,72.08211
Brazil,2010,73.61505
Brazil,2015,75.0528
Brazil,2017,75.41281
Brazil,2019,75.03448
Brunei,2000,54.96594
Brunei,2005,67.15147
Brunei,2010,72.65869
Brunei,2015,73.42524
Brunei,2017,77.71657
Brunei,2019,76.81353
Bulgaria,2000,67.2502
Bulgaria,2005,62.98787
Bulgaria,2010,63.47243
Bulgaria,2015,65.90308
Bulgaria,2017,67.20043
Bulgaria,2019,69.86815
Burkina Faso,2000,19.34744
Burkina Faso,2005,25.96431
Burkina Faso,2010,33.42622
Burkina Faso,2015,38.82455
Burkina Faso,2017,41.47027
Burkina Faso,2019,43.19408
Burundi,2000,16.89004
Burundi,2005,25.23092
Burundi,2010,36.34422
Burundi,2015,39.75879
Burundi,2017,41.68683
Burundi,2019,44.36962
Cambodia,2000,19.37306
Cambodia,2005,41.09518
Cambodia,2010,53.30874
Cambodia,2015,57.65294
Cambodia,2017,59.75236
Cambodia,2019,61.18309
Cameroon,2000,20.41016
Cameroon,2005,30.31218
Cameroon,2010,34.2126
Cameroon,2015,41.39652
Cameroon,2017,43.32886
Cameroon,2019,44.30533
Canada,2000,76.04001
Canada,2005,80.76575
Canada,2010,84.07316
Canada,2015,88.61367
Canada,2017,88.97058
Canada,2019,89.36107
Cape Verde,2000,35.42457
Cape Verde,2005,54.1425
Cape Verde,2010,62.24686
Cape Verde,2015,66.91813
Cape Verde,2017,67.72763
Cape Verde,2019,69.40577
Central African Republic,2000,15.29357
Central African Republic,2005,19.82295
Central African Republic,2010,26.59601
Central African Republic,2015,29.79952
Central African Republic,2017,30.32744
Central African Republic,2019,32.45704
Chad,2000,15.95716
Chad,2005,16.40051
Chad,2010,23.5306
Chad,2015,28.15469
Chad,2017,29.04152
Chad,2019,28.17739
Chile,2000,62.92966
Chile,2005,70.60806
Chile,2010,73.36844
Chile,2015,76.7303
Chile,2017,78.2702
Chile,2019,79.84435
China,2000,50.31672
China,2005,59.48028
China,2010,68.21765
China,2015,77.03241
China,2017,79.98416
China,2019,82.16772
Colombia,2000,50.53944
Colombia,2005,63.67381
Colombia,2010,69.35231
Colombia,2015,76.11178
Colombia,2017,77.16477
Colombia,2019,78.27238
Comoros,2000,25.93707
Comoros,2005,31.46986
Comoros,2010,37.88542
Comoros,2015,41.3959
Comoros,2017,42.34616
Comoros,2019,43.63373
Congo,2000,21.32953
Congo,2005,29.16911
Congo,2010,34.4195
Congo,2015,40.41218
Congo,2017,39.34523
Congo,2019,40.49405
Cook Islands,2000,45.48559
Cook Islands,2005,47.92181
Cook Islands,2010,57.83382
Cook Islands,2015,61.52166
Cook Islands,2017,62.73071
Cook Islands,2019,53.7673
Costa Rica,2000,65.04331
Costa Rica,2005,68.97816
Costa Rica,2010,72.55694
Costa Rica,2015,73.84337
Costa Rica,2017,76.73403
Costa Rica,2019,78.21457
Cote d'Ivoire,2000,19.33074
Cote d'Ivoire,2005,26.8377
Cote d'Ivoire,2010,35.24687
Cote d'Ivoire,2015,43.41928
Cote d'Ivoire,2017,44.91544
Cote d'Ivoire,2019,45.43848
Croatia,2000,66.75558
Croatia,2005,68.5058
Croatia,2010,69.78488
Croatia,2015,71.30732
Croatia,2017,72.07386
Croatia,2019,72.89811
Cuba,2000,57.30974
Cuba,2005,72.4044
Cuba,2010,76.61801
Cuba,2015,80.02631
Cuba,2017,80.57445
Cuba,2019,79.67036
Cyprus,2000,52.73124
Cyprus,2005,68.23601
Cyprus,2010,71.51399
Cyprus,2015,76.63195
Cyprus,2017,78.73686
Cyprus,2019,78.73997
Czechia,2000,71.95612
Czechia,2005,71.14083
Czechia,2010,73.43296
Czechia,2015,75.6442
Czechia,2017,77.59188
Czechia,2019,78.37137
Democratic Republic of Congo,2000,22.35519
Democratic Republic of Congo,2005,24.79104
Democratic Republic of Congo,2010,30.80556
Democratic Republic of Congo,2015,34.845
Democratic Republic of Congo,2017,36.7846
Democratic Republic of Congo,2019,38.54598
Denmark,2000,76.62516
Denmark,2005,77.81912
Denmark,2010,80.0129
Denmark,2015,82.66133
Denmark,2017,83.95916
Denmark,2019,84.88899
Djibouti,2000,27.17577
Djibouti,2005,32.06835
Djibouti,2010,40.42545
Djibouti,2015,43.89398
Djibouti,2017,48.58368
Djibouti,2019,48.14287
Dominica,2000,40.64714
Dominica,2005,59.78396
Dominica,2010,63.61582
Dominica,2015,65.6687
Dominica,2017,65.71429
Dominica,2019,66.67948
Dominican Republic,2000,45.45899
Dominican Republic,2005,49.44637
Dominican Republic,2010,59.85341
Dominican Republic,2015,62.7777
Dominican Republic,2017,63.67271
Dominican Republic,2019,65.717
Eastern Europe,2000,65.57141
Eastern Europe,2005,67.76302
Eastern Europe,2010,74.59551
Eastern Europe,2015,77.58478
Eastern Europe,2017,79.12487
Eastern Europe,2019,80.27491
Eastern Mediterranean,2000,35.17608
Eastern Mediterranean,2005,41.88102
Eastern Mediterranean,2010,48.079
Eastern Mediterranean,2015,52.29096
Eastern Mediterranean,2017,54.91566
Eastern Mediterranean,2019,56.79818
Ecuador,2000,56.22806
Ecuador,2005,62.39293
Ecuador,2010,72.81763
Ecuador,2015,76.4495
Ecuador,2017,78.0547
Ecuador,2019,80.3423
Egypt,2000,41.77619
Egypt,2005,46.20921
Egypt,2010,59.39715
Egypt,2015,61.84079
Egypt,2017,64.92018
Egypt,2019,69.79876
El Salvador,2000,49.88633
El Salvador,2005,62.76375
El Salvador,2010,69.07371
El Salvador,2015,72.78159
El Salvador,2017,74.08649
El Salvador,2019,75.51372
Equatorial Guinea,2000,26.60654
Equatorial Guinea,2005,29.67251
Equatorial Guinea,2010,37.18259
Equatorial Guinea,2015,39.6505
Equatorial Guinea,2017,42.70289
Equatorial Guinea,2019,43.24299
Eritrea,2000,29.40808
Eritrea,2005,35.62252
Eritrea,2010,43.56534
Eritrea,2015,46.04185
Eritrea,2017,48.44627
Eritrea,2019,49.80404
Estonia,2000,59.59102
Estonia,2005,61.07306
Estonia,2010,71.35483
Estonia,2015,75.46148
Estonia,2017,76.76999
Estonia,2019,77.57047
Eswatini,2000,33.63223
Eswatini,2005,45.71676
Eswatini,2010,52.10973
Eswatini,2015,54.43791
Eswatini,2017,56.86726
Eswatini,2019,58.09771
Ethiopia,2000,15.9964
Ethiopia,2005,19.53434
Ethiopia,2010,30.60783
Ethiopia,2015,36.66281
Ethiopia,2017,36.9205
Ethiopia,2019,38.12687
Europe,2000,63.73037
Europe,2005,66.29494
Europe,2010,72.78265
Europe,2015,76.54813
Europe,2017,78.02483
Europe,2019,79.22623
Fiji,2000,45.07349
Fiji,2005,53.19019
Fiji,2010,55.63384
Fiji,2015,58.21527
Fiji,2017,58.98827
Fiji,2019,60.96186
Finland,2000,74.75387
Finland,2005,80.27765
Finland,2010,82.41202
Finland,2015,83.53514
Finland,2017,83.07202
Finland,2019,83.23521
France,2000,81.0597
France,2005,81.61404
France,2010,82.5513
France,2015,83.31504
France,2017,83.59408
France,2019,83.91084
Gabon,2000,30.15734
Gabon,2005,38.64311
Gabon,2010,45.68909
Gabon,2015,50.53362
Gabon,2017,51.21085
Gabon,2019,48.68101
Gambia,2000,30.60229
Gambia,2005,36.69301
Gambia,2010,41.43335
Gambia,2015,45.33293
Gambia,2017,46.15826
Gambia,2019,47.7761
Georgia,2000,44.80169
Georgia,2005,57.19015
Georgia,2010,62.96625
Georgia,2015,65.36811
Georgia,2017,65.2258
Georgia,2019,65.15801
Germany,2000,76.0756
Germany,2005,79.74116
Germany,2010,82.31638
Germany,2015,84.43994
Germany,2017,85.22873
Germany,2019,85.83703
Ghana,2000,23.71178
Ghana,2005,25.37618
Ghana,2010,33.8933
Ghana,2015,41.31663
Ghana,2017,42.42514
Ghana,2019,45.08898
Greece,2000,66.32808
Greece,2005,69.5128
Greece,2010,71.58354
Greece,2015,75.1735
Greece,2017,76.50886
Greece,2019,77.63083
Grenada,2000,40.85001
Grenada,2005,60.70096
Grenada,2010,65.34625
Grenada,2015,67.30089
Grenada,2017,68.78054
Grenada,2019,69.71796
Guatemala,2000,43.57972
Guatemala,2005,53.41727
Guatemala,2010,59.00336
Guatemala,2015,57.05736
Guatemala,2017,56.00731
Guatemala,2019,57.1106
Guinea,2000,15.74085
Guinea,2005,21.66978
Guinea,2010,28.77547
Guinea,2015,32.85
Guinea,2017,34.60023
Guinea,2019,37.18853
Guinea-Bissau,2000,16.95103
Guinea-Bissau,2005,22.29735
Guinea-Bissau,2010,30.31757
Guinea-Bissau,2015,37.52629
Guinea-Bissau,2017,37.91968
Guinea-Bissau,2019,37.09678
Guyana,2000,49.16749
Guyana,2005,63.15785
Guyana,2010,68.69948
Guyana,2015,72.27752
Guyana,2017,73.31053
Guyana,2019,74.28282
Haiti,2000,22.82778
Haiti,2005,33.37391
Haiti,2010,41.54361
Haiti,2015,44.19233
Haiti,2017,46.49542
Haiti,2019,46.80417
High-income,2000,74.46615
High-income,2005,78.40721
High-income,2010,79.79446
High-income,2015,81.73405
High-income,2017,82.2219
High-income,2019,83.01791
Honduras,2000,41.94856
Honduras,2005,52.09253
Honduras,2010,57.09274
Honduras,2015,60.4721
Honduras,2017,60.39469
Honduras,2019,62.96089
Hungary,2000,66.94478
Hungary,2005,66.87893
Hungary,2010,67.37114
Hungary,2015,70.30839
Hungary,2017,71.12767
Hungary,2019,72.62634
Iceland,2000,76.51151
Iceland,2005,80.82294
Iceland,2010,82.9351
Iceland,2015,84.59516
Iceland,2017,85.53421
Iceland,2019,86.81483
India,2000,31.07796
India,2005,33.31231
India,2010,47.6621
India,2015,54.88946
India,2017,56.84428
India,2019,61.19089
Indonesia,2000,22.35189
Indonesia,2005,33.14774
Indonesia,2010,44.53975
Indonesia,2015,51.478
Indonesia,2017,55.23607
Indonesia,2019,58.70166
Iran,2000,36.61639
Iran,2005,49.09567
Iran,2010,57.15735
Iran,2015,68.75798
Iran,2017,73.8988
Iran,2019,76.58151
Iraq,2000,42.91711
Iraq,2005,46.1772
Iraq,2010,47.02488
Iraq,2015,48.87679
Iraq,2017,53.21225
Iraq,2019,55.13139
Ireland,2000,74.53577
Ireland,2005,77.87833
Ireland,2010,79.42824
Ireland,2015,81.55248
Ireland,2017,82.16523
Ireland,2019,82.80655
Israel,2000,76.68481
Israel,2005,79.60249
Israel,2010,81.52502
Israel,2015,82.9847
Israel,2017,83.54393
Israel,2019,84.27573
Italy,2000,70.24903
Italy,2005,75.95137
Italy,2010,79.05039
Italy,2015,81.3579
Italy,2017,82.35982
Italy,2019,83.37625
Jamaica,2000,36.95506
Jamaica,2005,61.08697
Jamaica,2010,66.0468
Jamaica,2015,68.02592
Jamaica,2017,68.8582
Jamaica,2019,70.11162
Japan,2000,69.92221
Japan,2005,77.14569
Japan,2010,79.67979
Japan,2015,82.55862
Japan,2017,83.98553
Japan,2019,84.94106
Jordan,2000,57.40942
Jordan,2005,59.07698
Jordan,2010,60.58809
Jordan,2015,59.6927
Jordan,2017,60.70306
Jordan,2019,59.53455
Kazakhstan,2000,38.70184
Kazakhstan,2005,56.74183
Kazakhstan,2010,63.60358
Kazakhstan,2015,70.97861
Kazakhstan,2017,73.45763
Kazakhstan,2019,75.9032
Kenya,2000,30.48787
Kenya,2005,36.86228
Kenya,2010,46.94721
Kenya,2015,52.33232
Kenya,2017,54.02236
Kenya,2019,55.94747
Kiribati,2000,29.61579
Kiribati,2005,34.71336
Kiribati,2010,44.1164
Kiribati,2015,47.53625
Kiribati,2017,49.58924
Kiribati,2019,51.22005
Kuwait,2000,67.00972
Kuwait,2005,67.98509
Kuwait,2010,66.04716
Kuwait,2015,66.82989
Kuwait,2017,67.95238
Kuwait,2019,69.5552
Kyrgyzstan,2000,52.31283
Kyrgyzstan,2005,57.21321
Kyrgyzstan,2010,60.93056
Kyrgyzstan,2015,69.27022
Kyrgyzstan,2017,70.68799
Kyrgyzstan,2019,70.32262
Laos,2000,26.10858
Laos,2005,33.61732
Laos,2010,39.21885
Laos,2015,45.48617
Laos,2017,48.41598
Laos,2019,50.20567
Latvia,2000,51.00985
Latvia,2005,56.14933
Latvia,2010,62.91733
Latvia,2015,65.62621
Latvia,2017,70.23041
Latvia,2019,71.76631
Lebanon,2000,53.60022
Lebanon,2005,62.21879
Lebanon,2010,65.88491
Lebanon,2015,67.79976
Lebanon,2017,69.30842
Lebanon,2019,71.98266
Lesotho,2000,27.01509
Lesotho,2005,32.55874
Lesotho,2010,42.84871
Lesotho,2015,46.44486
Lesotho,2017,48.31028
Lesotho,2019,48.08927
Liberia,2000,22.46799
Liberia,2005,24.44251
Liberia,2010,35.08907
Liberia,2015,38.20203
Liberia,2017,38.67236
Liberia,2019,41.87375
Libya,2000,52.78156
Libya,2005,54.91229
Libya,2010,57.56312
Libya,2015,56.84857
Libya,2017,59.52246
Libya,2019,59.6571
Lithuania,2000,47.00134
Lithuania,2005,53.29728
Lithuania,2010,58.07717
Lithuania,2015,64.94547
Lithuania,2017,66.87826
Lithuania,2019,69.51676
Low-income,2000,27.92402
Low-income,2005,31.59151
Low-income,2010,36.69813
Low-income,2015,38.23367
Low-income,2017,41.84809
Low-income,2019,42.42977
Lower-middle-income,2000,48.55325
Lower-middle-income,2005,55.46296
Lower-middle-income,2010,46.74356
Lower-middle-income,2015,52.46274
Lower-middle-income,2017,54.54084
Lower-middle-income,2019,57.79334
Luxembourg,2000,77.37727
Luxembourg,2005,78.64267
Luxembourg,2010,80.20806
Luxembourg,2015,82.68599
Luxembourg,2017,83.92925
Luxembourg,2019,86.48103
Madagascar,2000,19.12654
Madagascar,2005,22.54123
Madagascar,2010,28.00866
Madagascar,2015,30.9275
Madagascar,2017,31.15878
Madagascar,2019,34.65263
Malawi,2000,24.7537
Malawi,2005,30.64186
Malawi,2010,39.56762
Malawi,2015,43.28012
Malawi,2017,47.30378
Malawi,2019,48.26143
Malaysia,2000,47.84333
Malaysia,2005,64.27101
Malaysia,2010,68.02524
Malaysia,2015,72.72831
Malaysia,2017,75.4765
Malaysia,2019,75.80959
Maldives,2000,45.93273
Maldives,2005,49.1195
Maldives,2010,62.38626
Maldives,2015,68.20444
Maldives,2017,70.8783
Maldives,2019,69.16649
Mali,2000,21.16347
Mali,2005,25.46609
Mali,2010,36.21576
Mali,2015,37.79538
Mali,2017,39.41265
Mali,2019,41.54776
Malta,2000,71.91436
Malta,2005,71.99885
Malta,2010,74.28018
Malta,2015,79.08496
Malta,2017,79.57285
Malta,2019,81.25279
Marshall Islands,2000,42.3658
Marshall Islands,2005,45.42771
Marshall Islands,2010,56.26067
Marshall Islands,2015,59.73248
Marshall Islands,2017,61.17227
Marshall Islands,2019,61.79672
Mauritania,2000,17.67908
Mauritania,2005,25.66625
Mauritania,2010,32.97567
Mauritania,2015,34.14049
Mauritania,2017,41.22448
Mauritania,2019,39.57299
Mauritius,2000,42.59309
Mauritius,2005,51.84871
Mauritius,2010,56.98592
Mauritius,2015,63.12735
Mauritius,2017,63.68055
Mauritius,2019,64.56348
Mexico,2000,60.4053
Mexico,2005,64.96208
Mexico,2010,69.7213
Mexico,2015,72.51037
Mexico,2017,73.31562
Mexico,2019,73.88225
Micronesia (country),2000,40.52906
Micronesia (country),2005,43.3883
Micronesia (country),2010,49.34239
Micronesia (country),2015,45.74028
Micronesia (country),2017,47.19823
Micronesia (country),2019,47.90353
Moldova,2000,48.68739
Moldova,2005,49.45507
Moldova,2010,58.04386
Moldova,2015,63.57431
Moldova,2017,65.52548
Moldova,2019,67.42056
Monaco,2000,75.14136
Monaco,2005,78.73252
Monaco,2010,80.91735
Monaco,2015,83.29252
Monaco,2017,84.23018
Monaco,2019,84.82453
Mongolia,2000,44.45676
Mongolia,2005,42.78956
Mongolia,2010,54.15764
Mongolia,2015,62.22921
Mongolia,2017,62.78574
Mongolia,2019,63.2843
Montenegro,2000,57.34007
Montenegro,2005,61.08805
Montenegro,2010,62.67188
Montenegro,2015,63.99894
Montenegro,2017,65.31561
Montenegro,2019,67.16293
Morocco,2000,45.29871
Morocco,2005,54.81766
Morocco,2010,63.42816
Morocco,2015,70.21235
Morocco,2017,71.01897
Morocco,2019,72.74155
Mozambique,2000,23.09336
Mozambique,2005,26.91947
Mozambique,2010,34.88903
Mozambique,2015,42.89911
Mozambique,2017,46.16556
Mozambique,2019,46.79803
Myanmar,2000,26.82347
