,省,省（代码）,日期,现存确诊,新增确诊,本土新增确诊,无症状(只有本土),新增境外输入(阳性),新增治愈,新增死亡,累计确诊,累计治愈,累计死亡,累计境外输入(阳性)
0,北京,110000,2022/12/6,8539,1184,1170,2804,14,707,0,19588,11036,13,1476
1,北京,110000,2022/12/5,8062,1165,1163,3503,2,487,0,18404,10329,13,1462
2,北京,110000,2022/12/4,7384,1031,1021,2731,10,682,0,17239,9842,13,1460
3,北京,110000,2022/12/3,7035,712,708,2486,4,688,0,16208,9160,13,1450
4,北京,110000,2022/12/2,7011,705,703,2610,2,535,0,15496,8472,13,1446
5,北京,110000,2022/12/1,6841,948,942,3026,6,316,0,14791,7937,13,1444
6,北京,110000,2022/11/30,6209,1035,1023,4020,12,326,0,13843,7621,13,1438
7,北京,110000,2022/11/29,5500,1285,1282,3240,3,491,0,12808,7295,13,1426
8,北京,110000,2022/11/28,4706,973,957,3429,16,666,0,11523,6804,13,1423
9,北京,110000,2022/11/27,4399,856,840,3048,16,235,0,10550,6138,13,1407
10,北京,110000,2022/11/26,3778,750,747,3560,3,217,0,9694,5903,13,1391
11,北京,110000,2022/11/25,3245,587,586,2009,1,122,0,8944,5686,13,1388
12,北京,110000,2022/11/24,2780,432,424,1436,8,129,0,8357,5564,13,1387
13,北京,110000,2022/11/23,2477,517,509,1139,8,188,1,7925,5435,13,1379
14,北京,110000,2022/11/22,2149,396,388,1098,8,80,0,7408,5247,12,1371
15,北京,110000,2022/11/21,1833,274,274,1164,0,71,0,7012,5167,12,1363
16,北京,110000,2022/11/20,1630,157,154,808,8,66,2,6738,5096,12,1363
17,北京,110000,2022/11/19,1541,74,69,552,5,73,1,6581,5030,10,1355
18,北京,110000,2022/11/18,1541,84,79,436,0,49,0,6507,4957,9,1350
19,北京,110000,2022/11/17,1506,101,100,366,1,45,0,6423,4908,9,1350
20,北京,110000,2022/11/16,1450,172,172,262,0,45,0,6322,4863,9,1349
21,北京,110000,2022/11/15,1323,202,197,174,5,46,0,6150,4818,9,1349
22,北京,110000,2022/11/14,1167,305,303,159,2,40,0,5948,4772,9,1344
23,北京,110000,2022/11/13,902,240,237,170,3,27,0,5643,4732,9,1342
24,北京,110000,2022/11/12,689,162,161,74,1,0,0,5403,4705,9,1339
25,北京,110000,2022/11/11,527,70,68,48,2,31,0,5241,4705,9,1338
26,北京,110000,2022/11/10,488,64,64,54,0,28,0,5171,4674,9,1336
