date,Africa,Andorra,Argentina,Aruba,Asia,Australia,Austria,Bahamas,Bahrain,Barbados,Belgium,Benin,Bermuda,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Europe,Finland,France,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guyana,Honduras,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Malta,Martinique,Mexico,Moldova,Monaco,Montenegro,Morocco,Mozambique,Netherlands,New Caledonia,New Zealand,Nigeria,North America,Norway,Oceania,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Saint Martin (French part),San Marino,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South America,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,World
2022-05-29,16,0,0,0,5,2,1,0,0,0,10,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,5,10,2,0,0,0,0,0,667,1,29,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,4,37,0,2,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,2,0,0,0,138,0,0,2,3,0,0,0,4,209,8,0,0,0,733
2022-06-05,29,0,2,0,13,3,1,0,0,0,20,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,1036,1,86,0,128,9,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,17,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,53,0,0,13,182,2,3,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,3,0,2,0,204,0,0,4,8,0,0,0,9,304,48,0,0,0,1275
2022-06-12,77,0,3,0,14,5,3,0,0,0,44,0,0,0,0,1,0,0,156,0,0,0,0,0,0,0,0,0,0,1,34,1,0,0,0,0,0,1646,1,151,0,288,20,1,0,0,0,0,0,0,0,2,0,0,0,0,5,3,41,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,63,0,0,13,243,2,5,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,4,0,8,0,359,0,0,4,22,0,0,0,9,427,83,0,0,0,2001
2022-06-19,166,0,1,0,19,3,17,0,0,0,64,0,0,0,0,9,0,0,145,0,1,0,0,0,0,0,0,0,0,0,130,6,0,0,0,0,0,2533,1,256,1,527,14,0,2,0,0,0,0,0,0,5,3,0,0,0,13,10,88,0,0,0,1,0,0,0,1,1,0,13,0,0,0,0,0,123,0,0,16,305,2,3,0,0,0,0,1,195,0,0,4,0,0,0,0,1,0,0,4,0,18,0,501,0,0,5,41,0,0,0,5,639,144,0,1,0,3054
2022-06-26,138,0,1,0,40,2,28,0,0,0,81,3,0,0,0,36,2,0,174,0,3,1,3,0,0,1,0,0,0,1,85,14,0,0,0,0,0,3534,2,379,1,827,4,0,3,0,0,0,0,0,0,12,3,0,0,0,24,33,168,0,0,0,1,1,0,0,3,1,0,13,0,0,0,0,0,240,0,0,44,476,7,2,0,0,0,0,7,193,0,0,6,0,0,0,0,1,1,0,3,0,55,1,620,0,0,15,75,0,0,0,0,776,282,0,1,0,4257
2022-07-03,73,0,3,0,60,8,35,1,0,0,97,3,0,0,0,136,3,1,173,0,7,1,5,0,0,1,0,0,0,2,0,16,0,0,0,0,1,4200,5,416,0,1038,7,0,5,0,0,0,0,0,0,13,1,0,0,0,28,55,169,0,0,0,0,1,0,0,2,4,0,22,0,0,0,0,0,283,0,0,55,710,14,8,0,0,12,0,10,155,1,0,7,0,0,0,0,0,1,0,3,1,169,1,883,0,0,32,112,0,1,0,0,811,505,0,0,0,5231
2022-07-10,65,0,4,0,65,20,63,1,0,0,139,0,0,0,0,308,1,1,244,0,13,0,3,0,0,0,0,0,0,3,0,17,1,1,0,0,2,5952,9,594,0,1115,11,0,9,0,0,0,0,0,0,12,3,0,0,0,21,58,172,1,0,0,0,0,0,0,3,7,0,25,0,0,0,0,0,312,0,0,47,1202,25,25,1,0,39,0,17,180,1,0,8,0,0,0,0,0,1,1,9,1,372,0,2068,0,0,41,123,0,1,0,0,942,920,0,0,0,7692
2022-07-17,55,0,9,0,65,27,52,0,0,0,178,0,0,0,0,491,0,0,369,2,12,1,2,0,0,2,0,0,0,3,0,25,1,1,0,0,1,6224,9,757,0,1101,7,4,13,0,0,0,0,0,0,10,3,1,0,0,27,51,168,1,0,0,0,0,0,0,5,9,0,23,0,0,0,0,0,376,0,2,43,2437,28,30,1,0,112,0,24,146,6,0,5,1,0,0,1,4,5,2,17,1,636,0,2218,0,0,45,102,0,0,0,0,831,2026,0,0,0,9458
2022-07-24,54,0,12,0,89,21,47,0,0,1,209,0,1,0,1,672,0,0,415,2,26,1,6,0,1,7,0,0,0,4,0,44,2,2,0,0,2,6083,0,1156,0,1071,9,4,15,0,0,0,0,0,0,9,3,2,0,0,37,55,161,0,0,0,1,3,0,0,15,9,1,33,0,0,0,0,0,444,0,2,44,3876,27,24,0,0,226,0,28,163,11,2,5,1,0,0,2,4,6,2,11,1,952,0,1581,0,0,41,103,1,0,0,3,808,3402,0,0,0,11092
2022-07-31,76,3,11,0,100,17,68,0,0,1,237,0,1,0,1,1177,1,0,366,0,53,0,13,0,3,8,0,0,0,11,0,71,2,2,0,0,3,6946,4,1268,0,1033,21,0,22,0,0,0,0,0,0,9,2,3,0,0,37,67,198,1,2,0,1,3,1,0,21,8,1,35,0,0,1,0,0,406,0,0,51,5873,22,21,0,0,290,1,36,165,15,2,4,0,0,0,3,5,5,4,14,1,1558,0,2062,0,0,44,113,2,0,0,0,992,5441,1,0,0,14584
