,Africa,Andorra,Argentina,Aruba,Asia,Australia,Austria,Bahamas,Bahrain,Barbados,Belgium,Benin,Bermuda,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Europe,Finland,France,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guyana,Honduras,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Malta,Martinique,Mexico,Moldova,Monaco,Montenegro,Morocco,Mozambique,Netherlands,New Caledonia,New Zealand,Nigeria,North America,Norway,Oceania,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Saint Martin (French part),San Marino,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South America,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,World
2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,57
2022-05-29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,197,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,69,0,0,0,0,208
2022-06-05,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,23,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,39,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,118,8,0,0,0,458
2022-06-12,14,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,41,0,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,90,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,1,0,0,0,1,126,25,0,0,0,555
2022-06-19,50,0,0,0,2,0,3,0,0,0,28,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,802,0,76,0,155,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0,0,0,96,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,4,0,162,0,0,0,12,0,0,0,0,193,39,0,0,0,964
2022-06-26,65,0,0,0,10,0,7,0,0,0,22,0,0,0,0,2,0,0,53,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,1265,0,139,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,42,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,75,0,0,9,126,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,9,0,220,0,0,0,20,0,0,0,0,329,64,0,0,0,1488
2022-07-03,24,0,0,0,23,0,10,0,0,0,32,0,0,0,0,20,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1394,0,163,0,367,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,21,71,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,103,0,0,21,222,5,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,32,0,181,0,0,8,38,0,0,0,0,280,149,0,0,0,1709
2022-07-10,25,0,0,0,14,4,11,0,0,0,47,0,0,0,0,88,0,0,73,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1735,4,126,0,386,0,0,4,0,0,0,0,0,0,1,0,0,0,0,4,14,58,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,107,0,0,18,341,3,4,0,0,9,0,1,25,0,0,0,0,0,0,0,0,0,0,1,0,107,0,634,0,0,15,34,0,0,0,0,200,253,0,0,0,2241
2022-07-17,21,0,2,0,23,7,24,0,0,0,55,0,0,0,0,141,0,0,119,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2357,0,239,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,54,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,140,0,0,14,612,11,12,0,0,23,0,6,66,0,0,0,0,0,0,0,0,0,0,0,0,175,0,898,0,0,13,45,0,0,0,0,358,476,0,0,0,3214
