,Andorra,Argentina,Aruba,Australia,Austria,Bahamas,Bahrain,Barbados,Belgium,Benin,Bermuda,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guyana,Honduras,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Malta,Martinique,Mexico,Moldova,Monaco,Montenegro,Morocco,Mozambique,Netherlands,New Caledonia,New Zealand,Nigeria,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Saint Martin (French part),San Marino,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,World
2022-05-31,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,98.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,190.0,0.0,0.0,0.0,0.0,552.0
2022-06-07,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,0.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,198.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,8.0,302.0,25.0,0.0,0.0,0.0,1093.0
2022-06-14,0.0,3.0,0.0,7.0,4.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,112.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,125.0,0.0,229.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,14.0,4.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,80.0,0.0,0.0,36.0,2.0,0.0,0.0,0.0,0.0,1.0,231.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,313.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,13.0,470.0,65.0,0.0,0.0,0.0,1863.0
2022-06-21,0.0,3.0,0.0,8.0,11.0,0.0,0.0,0.0,77.0,3.0,0.0,0.0,0.0,8.0,0.0,3.0,177.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,277.0,1.0,469.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,14.0,11.0,85.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,95.0,0.0,0.0,41.0,4.0,0.0,0.0,0.0,0.0,1.0,304.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,520.0,0.0,0.0,10.0,41.0,0.0,0.0,0.0,13.0,793.0,113.0,0.0,1.0,0.0,3169.0
2022-06-28,0.0,4.0,0.0,10.0,20.0,1.0,0.0,0.0,117.0,3.0,0.0,0.0,0.0,20.0,2.0,3.0,236.0,2.0,6.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,10.0,16.0,0.0,0.0,0.0,0.0,1.0,4.0,440.0,1.0,838.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,28.0,33.0,159.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,257.0,0.0,0.0,62.0,4.0,0.0,0.0,1.0,0.0,7.0,373.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,2.0,1.0,800.0,0.0,0.0,13.0,72.0,0.0,0.0,0.0,13.0,1076.0,201.0,0.0,1.0,0.0,4919.0
2022-07-05,0.0,6.0,0.0,15.0,37.0,1.0,0.0,0.0,168.0,3.0,0.0,0.0,0.0,78.0,3.0,4.0,300.0,3.0,8.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,78.0,24.0,0.0,0.0,0.0,0.0,2.0,10.0,577.0,1.0,1242.0,19.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,44.0,52.0,233.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,8.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,352.0,0.0,0.0,62.0,19.0,0.0,0.0,15.0,0.0,13.0,415.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,2.0,1.0,1256.0,0.0,0.0,28.0,121.0,0.0,1.0,0.0,13.0,1235.0,460.0,0.0,1.0,0.0,7024.0
2022-07-12,0.0,9.0,0.0,28.0,63.0,1.0,0.0,0.0,225.0,3.0,0.0,0.0,0.0,219.0,3.0,7.0,375.0,3.0,13.0,2.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,10.0,85.0,30.0,1.0,1.0,0.0,0.0,2.0,13.0,721.0,1.0,1636.0,19.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,0.0,54.0,73.0,292.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,9.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,503.0,1.0,2.0,84.0,30.0,1.0,0.0,29.0,0.0,21.0,473.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,18.0,2.0,1.0,2034.0,0.0,0.0,49.0,163.0,0.0,1.0,0.0,13.0,1735.0,766.0,0.0,1.0,0.0,9955.0
2022-07-19,0.0,16.0,0.0,41.0,88.0,1.0,0.0,1.0,312.0,3.0,0.0,0.0,1.0,384.0,3.0,7.0,539.0,3.0,20.0,2.0,7.0,2.0,0.0,6.0,0.0,0.0,0.0,14.0,163.0,43.0,1.0,1.0,0.0,0.0,4.0,13.0,912.0,1.0,2033.0,19.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,2.0,0.0,0.0,69.0,102.0,374.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,17.0,0.0,48.0,0.0,0.0,0.0,1.0,0.0,656.0,0.0,2.0,101.0,44.0,1.0,0.0,78.0,0.0,40.0,515.0,8.0,0.0,19.0,1.0,0.0,0.0,2.0,5.0,6.0,2.0,26.0,3.0,1.0,2835.0,0.0,0.0,71.0,208.0,0.0,1.0,0.0,13.0,2115.0,1810.0,0.0,1.0,0.0,13894.0
2022-07-26,3.0,20.0,0.0,44.0,111.0,1.0,0.0,1.0,393.0,3.0,1.0,0.0,1.0,696.0,4.0,7.0,681.0,3.0,39.0,2.0,12.0,2.0,1.0,10.0,0.0,0.0,0.0,16.0,163.0,60.0,3.0,3.0,0.0,0.0,4.0,17.0,1567.0,1.0,2410.0,30.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.0,4.0,0.0,0.0,85.0,121.0,426.0,2.0,1.0,0.0,3.0,4.0,0.0,0.0,19.0,17.0,1.0,59.0,0.0,0.0,0.0,1.0,0.0,818.0,0.0,2.0,117.0,49.0,1.0,0.0,203.0,0.0,53.0,588.0,13.0,2.0,20.0,1.0,0.0,0.0,2.0,10.0,10.0,3.0,33.0,3.0,1.0,3596.0,0.0,0.0,81.0,234.0,1.0,1.0,0.0,0.0,2208.0,2881.0,0.0,1.0,0.0,18081.0
2022-08-02,3.0,20.0,0.0,45.0,135.0,1.0,0.0,1.0,482.0,3.0,1.0,0.0,1.0,1369.0,4.0,7.0,803.0,3.0,55.0,2.0,16.0,2.0,3.0,12.0,0.0,0.0,0.0,25.0,163.0,101.0,3.0,5.0,0.0,0.0,8.0,20.0,2054.0,1.0,2724.0,34.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,6.0,0.0,0.0,97.0,146.0,505.0,2.0,2.0,0.0,3.0,4.0,1.0,0.0,30.0,17.0,1.0,59.0,0.0,0.0,1.0,1.0,0.0,927.0,0.0,3.0,133.0,57.0,1.0,0.0,305.0,1.0,63.0,633.0,21.0,2.0,22.0,1.0,0.0,0.0,4.0,10.0,12.0,6.0,37.0,3.0,1.0,4577.0,0.0,1.0,102.0,272.0,2.0,1.0,0.0,0.0,2759.0,5175.0,1.0,1.0,0.0,24221.0
